,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
66,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,3
67,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
68,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,186
69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
75,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
76,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
77,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,35
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,132
79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
84,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,8
85,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
86,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
88,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
93,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
95,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
96,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
97,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,192
98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,163
102,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
104,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
105,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,301
108,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
109,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,245
111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
112,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
113,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
114,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
117,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1
118,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
119,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2
120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
121,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
122,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
125,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
126,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
127,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
129,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190
130,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181
131,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
132,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
134,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
