,stab_1,stab_1,stab_2,stab_2,Data,Data,Data,num
,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,43658
1,1,0,0,0,0,0,0,179
2,0,0,1,0,0,0,0,335
3,1,0,1,0,1,0,0,360
4,0,1,0,1,0,0,1,619
5,0,1,0,0,0,0,1,374
6,1,1,1,0,0,1,0,56
7,1,1,1,1,0,1,0,299
8,0,1,0,1,0,0,0,503
9,1,0,0,0,1,0,0,389
10,0,0,0,1,0,0,0,883
11,0,0,0,0,0,0,1,237
12,0,0,0,0,0,1,0,327
13,0,0,0,0,1,0,0,314
14,1,1,0,1,1,0,0,6
15,0,1,0,0,0,0,0,668
16,1,1,0,0,0,1,0,230
17,0,0,1,1,0,0,1,1
18,1,0,0,0,0,1,0,65
19,0,0,0,1,0,0,1,147
20,1,1,0,1,0,0,0,1
21,1,1,0,1,0,1,0,44
22,0,0,0,1,1,0,0,6
23,1,0,1,1,1,0,1,2
24,0,0,1,1,0,0,0,10
25,0,1,0,0,0,1,0,40
26,1,0,0,1,0,1,0,2
27,0,1,0,1,0,1,1,3
28,1,1,1,1,1,0,1,4
29,1,1,0,1,0,1,1,2
30,1,0,0,1,0,0,0,6
31,1,0,1,0,0,0,0,20
32,1,1,0,0,1,0,1,5
33,0,0,1,0,1,0,0,21
34,1,1,1,1,0,0,0,4
35,1,0,1,1,1,0,0,5
36,1,0,1,0,1,1,1,1
37,1,1,0,0,1,0,0,4
38,1,0,1,1,0,1,0,8
39,1,1,1,1,1,0,0,3
40,0,0,0,0,1,1,0,5
41,0,1,1,1,0,0,1,6
42,0,1,0,0,1,1,0,7
43,1,0,0,0,1,0,1,1
44,1,1,1,0,1,0,0,2
45,0,1,1,0,0,0,1,2
46,1,1,0,0,0,0,0,7
47,1,0,1,0,1,0,1,3
48,1,0,0,0,1,1,0,4
49,1,0,1,1,0,0,0,1
50,1,1,1,1,1,1,0,1
51,1,1,0,1,0,0,1,5
52,0,1,0,1,1,0,0,6
53,1,0,1,0,0,1,0,3
54,0,1,1,0,1,1,0,1
55,0,1,0,1,1,1,0,5
56,0,1,0,1,1,0,1,6
57,1,0,0,0,0,1,1,5
58,0,0,1,0,0,0,1,4
59,1,1,1,0,0,0,1,1
60,1,1,1,1,0,1,1,5
61,1,0,0,1,1,0,0,8
62,1,1,0,0,0,0,1,4
63,1,1,0,1,1,0,1,1
64,0,1,0,1,0,1,0,5
65,0,0,0,0,1,0,1,3
66,1,0,1,0,0,1,1,4
67,0,0,0,1,0,1,0,3
68,1,1,0,0,1,1,0,2
69,1,1,1,0,0,0,0,1
70,0,1,0,0,0,1,1,3
71,0,1,1,0,1,0,0,1
72,1,0,1,1,0,1,1,4
73,0,1,1,1,0,1,0,4
74,0,1,1,0,0,0,0,9
75,0,1,1,1,0,0,0,5
76,1,1,1,0,1,1,0,1
77,0,1,0,0,1,0,1,1
78,1,1,1,0,1,0,1,1
79,0,0,0,0,0,1,1,3
80,0,1,1,1,1,1,0,2
81,0,0,0,1,0,1,1,1
82,1,1,1,0,0,1,1,1
83,1,0,0,1,0,1,1,1
84,1,0,1,0,1,1,0,3
85,0,0,1,0,1,1,0,1
86,0,1,0,0,1,0,0,3
87,1,1,0,0,0,1,1,1
88,0,0,0,1,1,0,1,1
89,0,0,1,0,0,1,0,1
90,1,0,0,1,1,0,1,1
