,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
66,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1
67,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,7
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,175
69,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,163
70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,140
71,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
72,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1
73,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2
74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11
75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
76,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,8
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,70
78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,161
79,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,34
80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,145
81,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17
82,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
83,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
84,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,7
85,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
86,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,2
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,99
88,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
89,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,74
92,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,66
94,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,292
95,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,2
96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,11
97,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5
99,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,138
101,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5
