,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,40
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,268
2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,102
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,26073
4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2418
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,290
6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,8
7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,7
8,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,40
9,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,55
10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,637
11,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,42
12,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,250
13,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,64
14,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,39
15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,237
17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,685
18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1960
19,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1022
20,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,9
21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,587
22,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1
23,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,48
24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,765
25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,155
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,636
27,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,2
28,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,281
29,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1
30,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,10
31,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,55
32,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,14
33,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,5
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,972
35,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,216
36,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,20
37,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,462
38,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,19
39,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,69
40,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,3
41,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,492
42,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,19
43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,22
44,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
45,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,432
46,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,279
47,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,210
48,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,51
49,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,134
50,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,103
51,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,46
52,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3
53,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,22
54,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,205
55,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,49
56,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,13
57,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1
58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,23
60,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,76
61,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,560
62,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,163
63,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,5
64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,18
65,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,84
66,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,419
67,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1
68,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,70
69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,313
70,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,690
71,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,304
72,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,31
73,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,5
74,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1
75,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
77,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,4
78,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1
79,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,357
80,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2
81,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,107
82,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,2
83,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,9
84,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,56
85,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,12
86,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,33
87,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,61
88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,83
89,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,47
90,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,6
91,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,80
92,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,9
93,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,14
94,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,22
95,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,267
96,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,24
97,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,10
98,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,106
99,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,7
100,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,13
101,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
102,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,3
103,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,4
104,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,26
105,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,90
106,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3
107,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,28
108,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,36
109,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
110,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,105
111,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4
112,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,15
113,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,78
114,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3
115,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,11
116,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
117,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,15
118,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,5
119,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,109
120,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,6
121,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,4
122,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,43
123,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,48
124,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,100
125,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,70
126,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,5
127,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2
128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6
129,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,2
130,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,15
131,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,6
132,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,3
133,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,5
