,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
103,0,1,1,0,0,1,0,0,0,1,0,0,0,9
104,1,1,0,0,1,1,0,0,0,0,0,0,0,11
105,1,0,1,0,1,0,1,0,1,1,1,0,0,1
106,1,0,1,0,0,0,0,0,1,0,0,0,0,5
107,1,0,0,0,0,0,0,1,1,0,0,0,0,20
108,0,1,0,1,0,1,0,0,0,1,0,0,1,1
109,0,0,0,1,0,1,0,0,0,1,0,0,0,1
110,0,1,0,0,0,1,1,0,0,0,1,0,0,9
111,0,0,0,0,0,1,0,0,0,0,0,1,0,5
112,1,0,0,0,0,0,0,1,0,1,0,0,0,7
113,1,0,1,0,1,0,0,0,1,0,0,0,0,1
114,1,0,0,1,1,0,0,1,1,0,0,1,0,1
115,0,1,1,1,1,1,0,0,0,0,0,1,0,1
116,0,0,0,0,1,0,0,0,1,0,0,0,0,27
117,0,1,0,0,0,0,0,0,0,0,0,0,1,8
118,0,0,0,1,0,0,0,0,0,0,1,0,1,2
119,1,1,0,0,0,0,0,0,1,1,0,0,0,14
120,0,0,0,1,0,0,1,1,0,0,0,0,1,9
121,0,0,0,1,0,0,0,1,1,0,0,0,1,14
122,0,0,0,1,0,1,0,0,0,0,0,0,1,18
123,0,0,0,0,1,0,0,1,0,0,0,0,0,8
124,1,1,1,1,0,0,1,1,0,1,0,1,0,2
125,0,0,0,1,0,0,0,1,1,0,0,0,0,5
126,0,1,1,1,0,1,0,0,0,0,1,0,0,7
127,1,0,0,0,1,0,0,1,0,0,0,0,0,8
128,1,0,1,1,1,0,0,1,1,0,0,0,0,1
129,0,0,1,1,0,0,0,0,1,0,0,1,0,5
130,1,0,0,1,1,0,0,1,0,0,0,0,0,3
131,1,0,0,0,0,1,0,0,1,0,0,0,0,13
132,0,0,1,1,0,0,1,0,0,0,1,1,0,1
133,0,0,0,1,0,0,1,0,0,0,0,0,1,5
134,0,1,0,0,0,0,0,0,0,1,0,0,1,2
135,1,0,0,0,1,0,0,0,0,0,0,0,1,4
136,0,0,1,0,0,0,0,0,0,0,1,0,0,11
137,0,1,0,0,1,0,0,0,0,1,1,0,0,1
138,0,1,0,0,1,0,0,0,0,0,0,0,0,11
139,0,0,0,1,0,0,0,1,0,1,0,0,1,3
140,0,0,1,1,0,0,0,0,0,1,0,1,0,4
141,1,0,0,1,0,0,0,0,0,0,0,0,0,10
142,0,1,1,1,0,1,0,0,0,0,1,0,1,4
143,0,0,1,1,0,0,1,0,0,0,0,1,1,2
144,0,0,0,1,0,0,1,1,0,0,0,0,0,11
145,0,1,1,1,0,0,1,1,0,0,1,1,0,1
146,0,1,1,0,0,1,1,0,0,1,1,0,0,8
147,1,0,0,1,0,0,0,0,0,0,0,0,1,8
148,1,0,1,0,1,1,0,0,0,1,1,0,0,7
149,0,0,0,1,1,0,0,0,0,0,0,0,1,12
150,1,0,0,0,1,1,0,0,1,0,1,0,0,1
151,0,0,0,1,0,0,0,0,1,1,0,0,1,1
152,1,1,0,1,1,1,0,1,0,1,0,0,0,3
153,1,1,0,1,0,0,0,0,0,1,0,0,0,14
154,1,0,1,1,0,0,0,0,0,1,0,1,0,2
155,0,0,0,1,0,0,0,0,1,0,0,0,0,21
156,0,1,1,1,0,1,1,1,0,0,0,1,0,2
157,0,0,0,0,1,0,0,0,1,1,0,0,0,7
158,1,0,0,1,0,0,0,0,1,1,0,0,0,2
159,0,1,0,0,0,1,0,0,0,1,0,0,0,22
160,1,0,0,1,0,0,0,0,1,1,0,0,1,1
161,1,1,1,0,0,0,0,0,1,0,1,0,0,9
162,1,1,1,0,0,0,0,0,0,0,1,0,1,1
163,0,0,0,1,0,0,0,1,0,0,1,0,0,4
164,0,0,0,0,0,0,0,0,1,0,1,0,1,1
165,0,0,0,0,0,0,1,0,0,1,0,1,0,1
166,1,0,1,1,1,0,0,0,1,0,0,1,0,2
167,0,1,1,1,0,0,0,1,0,0,1,0,0,1
168,0,0,0,0,1,1,0,0,0,1,0,0,0,7
169,1,1,1,0,1,1,1,0,1,0,1,0,0,6
170,0,0,1,0,0,1,1,0,0,0,1,0,0,11
171,0,0,0,0,0,0,0,0,0,1,0,0,1,15
172,1,1,0,1,0,1,0,0,0,1,0,0,1,3
173,1,0,0,0,1,0,0,1,1,0,0,0,0,5
174,1,1,0,1,0,0,0,0,0,1,0,0,1,7
175,1,1,0,1,1,0,0,0,0,1,0,0,1,3
176,0,0,0,0,0,1,1,0,0,0,0,0,0,14
177,1,0,0,1,1,0,0,0,1,0,0,0,1,8
178,1,0,0,1,0,0,0,1,1,0,0,0,0,8
179,0,1,1,0,0,1,1,0,0,0,1,0,1,8
180,1,1,0,0,1,1,0,0,0,1,0,1,0,4
181,1,1,0,0,0,0,0,1,0,1,0,0,0,11
182,1,1,0,0,0,1,0,0,0,0,1,0,0,6
183,0,0,0,0,0,1,0,1,0,0,0,0,1,4
184,0,1,1,0,0,1,0,0,1,1,0,0,0,1
185,1,0,0,0,0,0,0,0,1,0,0,0,1,13
186,1,0,0,1,0,0,0,0,1,0,0,0,1,22
187,1,0,0,0,0,1,0,0,0,1,0,0,1,1
188,1,1,0,0,1,1,0,0,0,1,0,0,1,7
189,0,0,1,1,0,0,0,1,0,1,0,0,0,4
190,1,1,1,0,1,1,0,0,1,1,1,0,0,1
191,0,0,1,0,0,1,0,0,0,1,1,0,0,1
192,1,1,1,0,1,1,0,0,0,0,1,0,0,1
193,0,0,1,1,0,0,0,1,0,0,0,1,1,20
194,0,1,0,0,0,0,0,0,1,0,0,0,0,6
195,0,1,1,0,0,0,0,0,0,1,0,0,0,1
196,0,0,0,0,0,0,0,0,0,0,1,0,1,4
197,0,0,0,1,0,0,0,0,0,1,0,0,1,15
198,0,1,0,1,0,1,1,0,0,0,1,0,0,1
199,1,1,1,0,0,1,0,0,0,0,1,0,0,6
200,0,0,0,0,0,1,0,0,0,1,0,0,0,14
201,1,1,0,0,0,0,0,0,0,1,1,0,0,10
202,1,1,0,0,1,1,0,0,1,1,0,0,0,15
203,0,0,0,0,0,0,1,0,0,0,0,1,0,4
204,0,1,0,0,0,1,0,0,0,1,1,0,0,4
205,0,1,1,1,0,0,0,0,0,0,1,0,0,8
206,0,0,1,0,0,0,1,0,0,0,0,1,1,2
207,0,0,0,0,0,0,0,0,1,1,0,0,0,18
208,1,0,0,1,1,0,0,0,0,0,0,0,0,7
209,1,1,0,1,1,1,0,1,0,1,0,0,1,5
210,0,0,1,1,0,1,1,1,0,0,0,0,1,1
211,1,1,1,0,1,1,0,0,0,1,1,0,0,1
212,1,1,0,1,0,0,0,0,0,0,0,0,0,2
213,1,0,0,0,1,0,0,0,1,0,0,0,1,12
214,1,0,0,0,0,0,1,0,1,0,0,0,0,1
215,1,0,0,0,1,0,0,0,1,1,0,0,0,18
216,0,0,1,1,0,0,0,1,0,0,0,0,1,19
217,0,1,0,1,0,0,0,1,0,0,1,0,0,1
218,1,1,0,0,0,0,0,0,0,0,0,0,0,21
219,0,0,0,0,0,0,1,1,0,0,0,0,1,2
220,0,0,0,0,1,0,0,0,0,0,1,0,0,7
221,1,1,1,0,1,0,0,0,0,1,1,0,0,1
222,1,0,0,0,0,0,0,0,1,0,0,1,0,8
223,0,1,1,0,0,1,0,1,1,0,1,0,0,1
224,0,1,0,1,0,0,0,0,0,0,0,0,1,11
225,0,0,0,1,0,0,0,0,0,0,1,0,0,6
226,1,1,0,0,1,1,0,1,0,1,0,1,0,1
227,0,0,0,1,0,1,0,1,0,0,0,0,1,8
228,1,1,0,0,1,0,0,0,1,1,0,0,0,16
229,0,0,1,1,0,0,1,1,0,0,0,1,1,6
230,0,0,0,0,0,0,0,0,0,1,0,1,1,1
231,0,0,0,1,0,0,0,0,0,1,0,0,0,16
232,0,1,0,0,0,0,0,0,0,1,1,0,0,4
233,0,1,1,0,0,0,0,0,0,1,1,0,0,3
234,1,1,0,0,1,1,0,0,1,0,0,0,1,1
235,1,1,0,1,0,1,1,0,1,0,1,1,0,1
236,1,1,0,0,1,1,0,1,0,1,0,0,0,10
237,1,0,0,1,1,0,0,1,1,0,0,1,1,1
238,0,0,0,1,0,0,1,1,0,0,0,1,0,6
239,1,0,1,0,0,0,0,0,0,1,0,1,0,1
240,0,1,0,1,1,1,0,0,0,1,0,0,1,1
241,0,1,1,0,1,1,1,0,0,0,1,0,0,10
242,0,0,1,1,0,0,0,0,0,0,0,1,1,11
243,0,1,0,0,1,0,0,1,0,1,0,0,0,1
244,1,0,0,1,1,0,0,1,1,0,0,0,1,5
245,1,0,0,0,1,0,0,0,1,0,0,1,0,5
246,0,0,0,0,0,0,0,1,0,0,0,1,0,4
247,0,1,0,0,0,1,0,0,0,0,1,0,0,9
248,1,1,1,1,0,0,0,0,0,1,0,1,0,2
249,0,0,0,1,0,1,0,0,0,1,0,0,1,1
250,1,1,0,1,1,0,0,0,0,1,0,0,0,2
251,1,0,0,1,0,0,0,0,1,0,0,1,0,1
252,1,0,1,1,0,0,1,1,1,0,0,1,0,3
253,0,0,1,1,0,0,0,0,0,0,1,1,0,2
254,1,0,0,0,0,0,0,0,1,0,1,0,0,5
255,0,0,0,0,1,0,1,0,0,0,0,0,0,4
256,0,1,0,1,0,0,0,1,0,1,0,0,1,1
257,0,0,1,0,0,0,0,0,1,0,0,0,0,4
258,0,0,0,1,0,0,1,0,1,0,0,0,1,1
259,0,0,1,1,1,0,0,1,0,1,0,0,0,1
260,1,1,0,1,1,1,0,1,0,1,0,1,0,1
261,0,1,1,0,0,1,0,0,1,0,1,0,0,3
262,1,0,0,0,0,0,0,0,0,0,1,0,0,5
263,0,0,1,0,0,0,0,0,0,1,0,1,0,4
264,1,0,1,0,1,1,1,0,1,0,0,0,0,1
265,1,1,0,0,0,0,0,0,1,0,0,0,0,4
266,1,0,0,1,1,0,0,1,1,0,0,0,0,3
267,0,1,0,0,1,1,0,1,0,1,0,0,0,1
268,0,1,0,1,0,0,0,0,0,0,1,0,0,3
269,1,0,1,1,0,0,0,0,1,0,0,1,0,3
270,0,1,1,0,0,1,1,0,0,0,0,0,0,6
271,0,0,0,0,0,0,0,0,0,1,1,0,0,7
272,0,1,1,1,0,1,0,1,0,0,0,1,1,1
273,0,1,0,0,1,1,0,0,0,1,0,0,0,19
274,1,1,0,1,1,1,0,0,0,1,0,0,0,9
275,0,1,0,0,0,1,1,0,0,0,0,0,0,5
276,0,1,1,1,0,1,1,0,0,0,1,0,1,3
277,1,1,0,0,1,0,1,0,0,1,0,0,0,2
278,1,1,0,0,0,0,1,0,0,0,0,0,0,1
279,1,1,1,1,0,0,1,0,0,1,0,0,1,1
280,0,0,1,0,0,0,1,1,0,0,0,1,1,9
281,1,0,1,1,0,0,1,0,0,0,0,1,0,3
282,0,0,0,0,0,1,0,0,0,0,1,0,0,6
283,1,0,0,0,1,0,0,0,0,1,0,0,1,2
284,1,1,1,1,0,0,0,1,0,1,0,1,0,1
285,1,1,1,0,1,0,0,0,1,0,1,0,0,3
286,1,1,0,0,0,0,0,1,0,1,0,0,1,1
287,0,0,1,0,0,0,0,1,0,0,0,1,0,6
288,1,0,1,0,0,0,0,0,1,0,0,1,0,2
289,0,0,1,0,0,1,1,1,0,0,0,1,0,1
290,1,1,0,0,0,1,1,0,0,1,0,0,0,2
291,0,0,1,0,0,0,1,0,0,0,0,0,0,12
292,0,0,1,1,0,0,1,1,0,0,1,1,0,2
293,0,1,1,0,0,0,0,0,0,0,0,1,0,2
294,1,0,0,1,0,0,0,1,0,1,0,0,1,2
295,0,0,1,0,0,1,0,0,0,0,1,0,0,9
296,0,0,1,1,0,0,1,1,1,0,0,1,1,1
297,0,1,0,1,1,1,1,1,0,0,1,0,1,1
298,0,0,0,1,1,0,0,1,0,0,0,0,1,4
299,1,0,1,1,0,0,0,1,1,0,0,0,0,2
300,1,1,1,0,1,1,0,0,0,0,0,0,0,2
301,1,0,1,1,0,0,0,1,0,0,0,0,0,1
302,1,0,0,0,0,0,0,1,0,1,0,0,1,2
303,0,0,0,0,0,1,0,0,0,0,1,1,0,1
304,0,0,0,0,1,1,0,0,1,1,0,0,0,1
305,0,1,0,0,0,0,0,0,0,0,1,0,1,1
306,0,1,1,1,0,1,0,0,1,1,0,1,0,1
307,0,0,0,0,0,1,0,0,0,0,0,0,1,8
308,1,1,0,0,1,1,0,0,0,1,1,0,0,3
309,1,1,0,0,1,0,0,0,1,0,0,0,0,3
310,0,0,1,0,0,0,1,1,0,0,0,1,0,6
311,1,1,1,0,0,1,0,0,1,0,1,0,0,3
312,1,0,0,0,1,0,1,0,0,1,0,0,0,1
313,1,0,0,0,0,0,1,1,1,0,0,0,0,1
314,1,0,0,0,0,0,0,0,0,1,1,0,0,1
315,0,0,0,0,1,0,0,0,1,0,0,0,1,1
316,0,1,0,1,0,1,0,0,1,0,0,0,1,1
317,0,0,1,1,0,0,0,1,1,0,0,0,1,1
318,1,1,0,0,0,0,0,0,1,0,1,0,0,2
319,0,0,1,0,0,1,0,0,0,0,0,1,0,2
320,0,0,1,0,0,1,0,0,0,0,0,0,0,7
321,0,1,1,0,0,0,0,0,0,0,1,0,1,5
322,0,0,1,1,0,0,0,1,1,1,0,1,0,1
323,1,0,1,0,1,0,0,0,0,1,0,0,0,4
324,1,1,1,0,0,1,0,0,0,1,0,0,0,6
325,1,0,0,0,0,0,0,0,1,1,1,0,0,1
326,1,1,1,0,1,1,0,0,1,0,1,0,0,3
327,0,0,1,0,0,0,0,0,0,0,0,1,1,5
328,0,0,0,0,0,0,1,0,0,0,1,0,0,1
329,1,1,1,0,0,1,0,0,0,1,1,0,0,8
330,1,1,1,0,0,0,0,0,0,0,1,0,0,2
331,0,0,0,0,0,0,0,1,0,1,0,0,0,5
332,1,1,1,0,0,1,0,1,0,1,1,1,1,1
333,0,0,1,1,0,1,1,1,0,0,0,1,1,1
334,1,1,0,1,0,0,0,0,0,1,0,1,1,1
335,1,1,1,1,1,1,0,1,0,1,0,0,1,1
336,1,0,0,1,0,0,0,1,0,0,0,0,1,5
337,0,1,0,1,0,0,0,1,0,0,1,0,1,2
338,0,1,1,0,0,1,1,1,0,0,1,0,0,4
339,0,1,0,0,1,0,0,0,1,1,0,0,0,8
340,0,1,0,1,1,1,0,1,1,1,0,0,0,1
341,0,0,0,1,0,0,1,0,0,0,0,1,0,2
342,1,0,0,1,1,0,0,0,1,0,0,0,0,13
343,0,0,0,0,0,0,0,1,1,0,0,1,1,1
344,1,1,0,0,1,1,1,0,0,1,0,1,0,1
345,0,1,1,0,0,1,0,1,0,0,1,0,0,2
346,1,0,0,0,1,0,1,0,0,0,0,0,0,4
347,1,0,1,0,0,0,0,0,0,1,1,0,0,4
348,0,1,0,1,1,0,0,0,0,1,0,0,0,2
349,0,1,0,0,0,1,0,1,0,0,0,0,0,2
350,1,1,0,1,1,1,0,1,0,0,0,0,1,1
351,0,1,1,0,0,0,0,1,0,0,1,0,0,6
352,0,1,1,0,1,1,0,0,0,0,1,0,0,2
353,0,1,1,1,0,1,1,0,0,1,1,0,0,1
354,0,1,1,0,0,0,0,0,0,0,1,1,0,2
355,0,1,0,1,0,0,0,0,0,1,0,0,1,4
356,1,1,0,0,0,1,0,0,0,0,0,0,0,8
357,0,1,1,1,0,1,1,0,0,0,1,1,0,1
358,1,1,0,0,1,0,0,1,0,1,1,0,0,1
359,0,1,0,0,1,0,1,0,0,1,0,0,0,2
360,0,1,0,0,0,1,0,1,0,1,0,0,0,2
361,0,1,0,0,1,0,0,0,0,0,1,0,0,7
362,0,0,0,0,1,1,1,0,0,0,0,0,0,1
363,0,1,1,1,0,1,1,1,0,0,1,0,1,3
364,0,0,0,0,0,0,0,1,0,0,1,0,0,3
365,0,1,1,1,0,0,0,0,0,0,0,1,0,2
366,1,0,0,1,0,0,0,0,0,1,0,0,1,4
367,0,0,0,0,0,1,1,0,0,0,1,0,0,1
368,0,1,0,1,0,0,0,0,0,0,1,1,0,2
369,0,0,0,0,0,0,0,1,1,1,0,0,0,1
370,0,1,0,0,1,0,0,1,0,0,0,0,0,1
371,1,0,1,0,0,1,1,0,0,1,1,0,0,7
372,1,0,1,1,1,0,0,1,0,0,0,1,1,1
373,0,1,0,0,1,0,0,0,0,0,0,0,1,1
374,1,0,1,0,1,0,0,0,0,0,0,0,0,2
375,0,1,1,0,0,1,0,0,0,0,0,0,0,6
376,1,0,0,0,1,0,1,0,1,0,0,0,0,2
377,1,1,0,0,0,0,0,0,0,1,0,0,1,6
378,0,0,0,1,1,1,0,0,0,1,0,0,0,1
379,0,1,0,0,1,0,0,0,1,0,0,0,0,1
380,0,1,0,1,0,0,1,0,0,0,1,1,0,2
381,1,1,1,0,1,0,0,0,1,0,1,1,0,1
382,0,0,1,0,0,1,1,0,0,1,1,0,0,1
383,1,0,1,0,0,1,0,0,0,1,1,0,0,5
384,1,1,0,0,0,0,0,0,0,1,0,1,0,3
385,0,1,1,1,0,1,1,1,0,1,1,1,0,1
386,0,0,0,0,0,0,0,0,1,0,0,1,0,10
387,0,1,0,1,0,0,0,0,0,0,0,1,0,1
388,0,0,0,1,0,0,1,0,0,0,0,0,0,9
389,0,1,0,1,0,0,0,1,0,1,0,0,0,1
390,1,0,0,0,0,0,0,1,1,0,0,0,1,4
391,0,1,1,1,0,0,0,0,0,0,1,1,0,2
392,0,0,0,0,1,0,0,1,0,0,0,0,1,4
393,1,0,0,1,0,1,0,0,0,1,0,0,0,3
394,0,1,1,0,0,0,0,1,0,1,1,0,0,1
395,0,0,0,1,1,0,0,0,0,1,0,0,0,1
396,0,0,1,1,0,0,0,1,1,0,0,1,1,3
397,0,1,1,0,0,0,0,0,1,0,1,0,0,3
398,0,0,1,0,0,0,0,0,0,1,0,0,0,1
399,0,1,0,1,0,1,0,0,0,0,0,0,0,3
400,1,1,0,1,0,0,0,1,0,1,0,0,0,2
401,0,1,0,1,0,1,0,0,0,0,1,1,0,1
402,1,1,0,0,1,1,1,0,0,1,0,0,0,3
403,0,1,1,0,1,1,0,0,0,1,1,0,0,2
404,0,0,1,0,0,1,1,0,0,0,0,0,0,2
405,1,0,1,0,1,0,1,0,0,1,1,0,0,3
406,1,0,0,1,1,1,0,0,0,1,0,0,1,2
407,0,1,1,0,0,1,0,0,0,0,1,0,1,4
408,1,0,0,1,1,0,0,0,0,0,0,0,1,5
