,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
80,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,110
82,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,55
83,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,5
84,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,5
85,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4
86,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,6
87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,7
88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,318
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,108
90,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,6
91,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
92,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,18
93,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6
94,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
95,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,50
96,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
97,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
98,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,4
99,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,55
100,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,4
101,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
102,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,102
103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,54
104,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
105,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,3
106,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9
107,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,10
108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,5
109,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,15
110,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1
111,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
112,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,4
113,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,4
114,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
115,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,7
116,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,60
117,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4
118,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,6
119,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5
121,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5
122,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,82
123,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1
124,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
125,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1
126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,121
127,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
128,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,4
129,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,10
130,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1
131,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7
132,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,3
133,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,4
134,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,3
135,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,4
136,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
137,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,4
138,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
139,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,10
140,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
141,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1
142,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
143,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
144,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1
145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9
146,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,6
147,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5
148,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,4
149,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,8
150,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,5
151,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2
152,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4
153,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1
154,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3
155,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,8
156,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,2
157,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,7
158,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,6
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
160,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,16
161,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,3
162,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
163,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,55
164,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
165,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
