,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31895
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,488
2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1741
3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,420
4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,13
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1220
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,182
7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,241
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,537
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,525
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1027
11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,26
12,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,19
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,596
14,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,19
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,806
16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,23
17,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,68
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,317
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,426
22,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,15
23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76
24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,540
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,258
