,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
119,0,0,0,1,0,0,1,0,1,0,0,2
120,1,1,0,1,1,1,0,1,0,1,1,20
121,0,1,0,1,1,0,0,0,0,0,1,1
122,0,1,0,0,0,1,0,1,0,0,1,45
123,1,1,1,1,1,0,1,0,1,0,1,2
124,0,0,0,0,0,0,0,1,0,1,1,1
125,1,0,1,1,0,0,0,1,0,0,1,1
126,1,1,1,1,0,0,0,0,0,1,1,8
127,1,0,0,0,0,0,0,1,0,0,0,5
128,0,1,1,1,1,1,0,0,0,0,0,1
129,1,0,1,0,0,0,0,0,0,0,0,28
130,1,0,1,0,1,1,0,0,0,1,0,2
131,0,0,0,1,0,0,0,0,1,0,0,3
132,1,1,0,0,0,0,1,0,1,0,0,1
133,1,1,0,1,0,1,0,1,0,1,1,8
134,0,0,1,0,1,0,0,0,1,1,1,1
135,1,0,1,0,1,0,1,0,0,0,0,9
136,1,0,1,0,1,1,1,0,1,0,0,4
137,1,1,1,0,1,0,1,0,1,0,0,5
138,1,1,0,0,0,0,0,0,0,0,1,6
139,0,0,1,0,0,1,0,0,0,0,1,1
140,1,0,1,0,1,1,0,1,0,1,1,5
141,1,0,0,0,1,0,1,1,1,0,0,1
142,1,0,1,1,1,1,0,1,0,1,0,3
143,1,1,0,1,0,1,0,1,0,0,0,9
144,1,1,0,1,0,1,1,1,0,1,0,4
145,1,1,0,0,0,1,0,0,0,1,0,5
146,1,0,1,1,1,1,0,0,0,1,1,4
147,1,0,1,0,0,0,0,0,0,1,0,4
148,1,0,1,0,0,0,0,0,1,1,0,4
149,1,1,1,1,0,0,0,1,0,1,1,2
150,0,1,1,1,0,0,0,0,0,1,0,3
151,1,0,0,1,0,0,0,0,1,0,1,1
152,0,1,0,1,1,1,1,1,0,0,1,1
153,0,1,0,0,1,0,0,0,0,0,1,3
154,1,0,0,0,0,0,1,0,0,1,0,1
155,0,1,0,0,0,0,0,0,1,1,0,2
156,0,0,1,0,1,1,1,1,0,0,0,1
157,1,1,1,1,0,1,0,1,0,1,0,10
158,0,1,0,0,0,1,0,1,0,0,0,9
159,0,1,0,1,1,0,0,0,1,0,0,1
160,0,0,1,1,1,1,1,1,1,0,0,1
161,0,1,0,1,0,0,0,1,0,0,0,7
162,1,0,1,0,1,0,0,0,1,1,0,4
163,0,0,0,0,1,0,0,0,0,1,0,4
164,1,1,0,1,0,0,0,0,0,1,0,14
165,1,1,1,1,0,1,0,0,1,1,1,1
166,0,1,1,1,0,0,0,0,0,0,1,6
167,0,1,0,1,0,0,0,0,0,1,1,6
168,1,1,1,1,1,1,0,1,0,0,0,3
169,1,1,0,1,0,1,1,1,0,1,1,2
170,1,0,1,1,1,1,0,0,1,0,1,4
171,1,1,1,0,1,1,1,1,0,1,1,1
172,0,0,0,0,1,0,1,1,0,0,0,1
173,1,1,1,1,1,1,0,1,1,0,0,2
174,1,1,1,0,1,0,1,0,1,0,1,4
175,1,1,1,1,0,1,0,0,1,0,1,5
176,0,0,1,0,1,0,1,0,1,0,0,3
177,1,1,1,1,1,1,0,0,0,0,0,8
178,1,1,1,1,0,0,0,1,0,1,0,3
179,0,1,0,1,1,1,1,1,0,1,0,1
180,1,1,0,1,0,0,0,0,0,0,1,3
181,0,0,0,0,1,0,0,0,1,0,0,12
182,1,1,1,1,0,1,0,1,0,1,1,10
183,0,0,0,1,0,1,1,0,0,0,1,1
184,0,1,1,1,1,1,0,1,0,0,0,3
185,0,1,0,1,1,0,0,1,0,0,0,1
186,0,0,0,1,0,1,0,1,0,0,0,16
187,1,0,0,1,1,1,0,1,0,0,1,1
188,0,1,1,1,0,0,0,0,0,0,0,5
189,1,1,0,1,1,1,1,1,0,1,0,2
190,1,1,0,0,0,0,0,0,0,1,1,8
191,0,0,1,1,0,1,0,1,0,0,0,1
192,1,1,1,1,0,1,0,1,1,1,1,3
193,0,1,0,1,1,1,1,1,1,1,0,5
194,0,1,0,1,0,0,0,1,1,0,1,2
195,0,0,1,0,1,0,0,0,0,0,0,16
196,1,0,0,0,1,0,0,0,1,1,0,1
197,1,0,0,0,1,0,0,0,0,0,1,1
198,0,1,1,1,1,1,0,1,0,1,0,3
199,0,0,0,0,0,1,1,0,0,0,0,3
200,0,0,0,0,1,0,1,0,0,0,0,8
201,1,0,1,1,1,1,1,0,1,0,0,3
202,0,1,1,0,1,0,1,0,1,1,0,3
203,1,1,0,1,1,1,0,0,0,0,1,1
204,0,0,0,0,0,0,0,0,1,1,0,3
205,1,1,0,1,0,1,0,0,0,1,0,5
206,0,0,0,1,0,0,0,1,0,0,0,15
207,0,1,0,0,0,0,0,1,0,0,0,15
208,1,1,1,0,1,0,1,0,1,1,0,1
209,1,1,1,0,0,1,0,1,0,1,1,1
210,1,1,0,1,0,1,1,1,0,0,1,1
211,1,1,0,1,0,1,0,0,0,1,1,3
212,1,0,0,0,0,0,0,0,1,0,1,5
213,1,0,1,0,1,0,1,0,1,1,0,6
214,1,0,1,1,0,0,0,1,0,1,1,1
215,0,1,1,1,0,0,0,0,1,1,0,3
216,0,0,0,0,0,1,0,1,0,1,0,2
217,1,1,1,1,1,1,1,1,1,1,0,2
218,0,1,1,1,0,1,0,1,0,0,0,6
219,1,1,1,0,0,1,0,0,0,1,1,3
220,1,1,1,0,1,0,0,0,0,0,1,2
221,1,1,1,0,0,0,0,0,0,0,0,6
222,0,0,0,0,1,1,1,0,0,0,0,3
223,0,0,1,0,1,0,1,0,0,0,0,9
224,1,1,1,0,1,1,1,0,0,0,0,1
225,0,1,0,1,1,1,0,0,0,1,0,3
226,1,1,1,1,0,0,0,0,0,0,0,5
227,0,1,0,1,0,1,0,0,0,1,1,7
228,1,1,1,1,1,0,0,0,0,0,0,3
229,1,1,1,1,1,0,0,0,1,0,0,1
230,0,0,1,0,0,0,0,1,0,0,0,3
231,1,1,1,1,1,1,1,1,0,0,0,3
232,0,1,0,1,0,1,1,0,0,0,1,5
233,1,1,1,1,1,0,0,0,1,1,0,2
234,0,0,0,1,1,1,0,1,0,0,1,1
235,0,1,1,0,0,1,0,0,1,0,0,1
236,1,1,1,1,1,1,0,0,0,1,1,2
237,1,1,0,0,1,0,0,0,1,0,1,1
238,1,1,0,1,0,0,0,0,1,0,0,2
239,1,0,1,1,0,0,0,0,1,0,0,5
240,0,1,0,1,1,1,0,0,0,0,1,1
241,1,0,0,1,0,1,0,1,0,0,0,2
242,1,0,0,1,1,0,1,0,0,1,0,1
243,1,0,0,1,0,0,0,0,0,1,1,5
244,1,1,1,1,0,0,0,0,1,1,0,3
245,0,0,0,0,0,0,1,1,0,0,0,5
246,1,0,0,1,0,1,0,0,1,0,1,1
247,1,1,1,1,1,0,0,1,0,1,0,5
248,0,0,0,0,1,0,1,0,1,0,0,3
249,0,0,0,0,0,0,1,0,0,1,0,4
250,1,1,1,0,0,1,0,1,0,1,0,2
251,0,1,0,1,1,1,0,0,1,1,0,5
252,1,0,0,0,0,1,0,1,0,1,1,1
253,1,1,1,0,1,1,0,0,1,0,0,1
254,1,0,0,1,0,1,0,1,1,1,1,1
255,0,1,1,1,1,1,1,1,0,0,0,1
256,1,1,1,1,1,1,1,0,0,1,1,1
257,0,0,0,0,0,0,0,0,1,0,1,5
258,0,0,1,1,1,1,0,0,0,0,0,2
259,0,1,0,0,0,1,0,0,1,0,0,3
260,1,1,0,1,0,1,0,0,1,0,0,1
261,1,1,0,0,0,0,0,0,1,0,0,3
262,1,1,1,1,1,0,1,0,0,0,0,1
263,1,1,1,1,1,1,0,0,1,0,0,2
264,0,0,0,1,0,1,1,1,0,0,0,1
265,1,1,0,1,0,1,0,0,0,0,1,4
266,1,1,1,1,1,0,1,1,0,1,1,4
267,0,0,1,1,0,1,0,1,0,0,1,1
268,1,1,0,1,0,0,0,0,1,1,0,1
269,1,1,1,0,1,0,1,1,0,1,1,1
270,0,0,0,1,0,0,1,0,0,0,1,5
271,1,0,1,1,1,1,1,1,0,1,1,3
272,0,0,1,1,1,1,1,1,0,0,0,3
273,0,0,0,1,0,1,0,0,0,1,1,1
274,1,1,0,1,0,0,0,0,1,0,1,5
275,1,0,0,0,0,0,0,0,1,1,0,4
276,0,0,0,0,1,1,0,0,0,0,0,4
277,0,1,1,0,1,0,0,0,1,1,0,7
278,0,0,1,0,0,1,0,0,0,0,0,3
279,1,0,1,1,1,1,0,0,0,1,0,9
280,1,0,0,0,0,0,0,1,1,0,0,5
281,1,0,0,0,0,0,0,0,0,1,1,3
282,1,1,1,1,1,1,1,1,0,1,1,5
283,1,0,0,0,0,1,0,0,0,0,1,2
284,1,1,0,1,1,1,0,1,0,0,0,6
285,1,0,1,1,1,1,1,1,1,0,1,3
286,0,1,0,0,0,0,1,0,0,1,1,1
287,1,0,1,0,1,1,1,1,0,1,1,2
288,1,1,0,1,1,0,0,1,0,1,1,1
289,1,0,0,1,0,1,0,0,0,1,0,2
290,0,1,0,0,1,1,1,0,1,1,1,1
291,1,0,0,1,0,0,0,0,0,1,0,4
292,0,0,0,0,0,1,0,0,0,1,1,2
293,1,0,1,0,1,1,1,0,0,1,0,1
294,0,0,0,0,1,1,1,1,0,0,0,5
295,1,0,0,0,0,0,1,0,0,0,0,1
296,1,1,1,1,0,1,0,1,1,0,0,2
297,1,1,1,1,1,1,1,0,1,1,0,2
298,0,1,0,0,0,1,1,0,1,1,0,1
299,0,0,1,0,1,0,0,0,1,0,1,1
300,1,1,0,1,1,1,1,0,0,1,0,1
301,0,0,0,1,1,1,0,0,1,1,0,1
302,1,1,1,0,0,0,0,0,1,1,0,1
303,1,1,1,1,0,0,0,0,0,0,1,3
304,0,0,0,1,1,1,0,1,0,0,0,2
305,1,1,1,1,0,1,0,1,0,0,1,9
306,1,0,1,1,0,1,0,0,0,1,1,1
307,0,1,1,1,0,1,0,0,0,0,0,1
308,1,1,1,0,1,1,1,0,0,1,1,1
309,1,0,0,0,0,0,1,0,1,0,0,6
310,1,0,1,1,1,1,1,1,0,1,0,6
311,1,1,1,1,0,1,1,0,0,1,0,2
312,0,1,0,1,0,1,1,0,0,0,0,1
313,1,0,0,0,1,1,0,0,1,0,0,1
314,0,1,0,0,0,0,0,0,1,0,1,4
315,1,0,1,0,0,0,0,1,1,0,0,8
316,1,0,1,0,1,0,0,1,1,0,0,12
317,1,0,1,0,0,0,1,0,0,0,0,1
318,0,1,0,1,0,0,1,0,0,0,0,1
319,1,1,0,1,1,1,1,0,0,0,0,1
320,1,0,1,0,1,0,1,0,0,1,1,3
321,0,1,0,1,0,1,1,1,0,1,1,2
322,1,0,1,0,1,0,0,0,1,0,1,6
323,1,1,1,0,1,1,1,0,0,1,0,3
324,1,0,1,0,1,0,0,1,0,1,1,1
325,0,1,0,0,1,0,0,0,1,1,0,1
326,1,1,0,1,1,0,0,0,1,0,0,1
327,1,0,1,0,1,1,0,0,1,0,0,7
328,1,1,1,0,1,1,0,0,0,1,0,4
329,0,0,0,1,0,1,0,0,1,0,0,1
330,0,1,1,1,0,0,0,1,0,1,1,1
331,1,1,0,1,1,1,1,1,0,0,1,1
332,1,0,1,1,0,1,0,0,0,1,0,1
333,0,0,0,0,1,0,0,1,0,0,0,4
334,0,1,0,1,0,0,0,0,0,1,0,3
335,1,0,0,0,1,0,1,1,0,1,0,1
336,1,1,1,1,0,1,0,0,1,0,0,1
337,0,1,1,1,1,1,0,0,0,1,1,1
338,0,1,0,1,0,1,0,1,0,1,0,5
339,0,1,0,1,0,0,1,1,0,0,1,1
340,0,1,0,1,1,0,0,0,1,1,0,5
341,0,0,0,0,1,0,0,0,0,0,1,3
342,1,0,1,1,0,0,0,0,0,1,0,4
343,1,0,1,0,0,0,1,0,1,1,0,1
344,0,0,0,0,0,1,0,0,0,1,0,4
345,1,1,0,0,0,1,0,0,0,0,1,1
346,1,0,1,0,0,0,0,0,1,0,1,4
347,1,1,0,0,0,0,0,0,1,1,0,3
348,1,1,0,0,1,0,1,0,1,0,1,2
349,0,0,0,1,0,1,0,1,0,1,0,3
350,1,1,0,1,0,0,0,0,0,0,0,2
351,1,1,0,1,1,1,1,1,1,1,1,1
352,1,1,0,1,0,1,0,0,1,0,1,3
353,1,1,0,1,1,1,1,1,0,1,1,2
354,1,0,1,0,0,1,0,0,1,0,0,3
355,0,1,0,0,0,1,0,1,0,1,1,1
356,1,1,1,0,1,0,0,0,1,0,1,5
357,1,0,0,1,0,1,0,1,0,1,1,4
358,1,0,1,1,0,1,0,1,0,1,0,1
359,0,0,0,1,0,0,1,1,0,0,0,1
