,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36068
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,711
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,430
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,461
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,281
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,240
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,421
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,402
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,443
10,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,12
11,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,4
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131
13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,198
14,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,195
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,270
16,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191
18,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,5
19,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,6
20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,156
21,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,229
23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,318
24,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9
