,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,35777
1,0,0,0,0,1,0,0,0,0,1149
2,0,0,0,1,0,0,0,0,0,1303
3,0,1,0,0,1,0,0,1,0,445
4,0,0,0,0,0,0,0,1,0,342
5,1,0,1,0,0,0,0,1,0,13
6,0,0,0,0,1,0,0,1,0,170
7,0,0,1,0,0,0,0,1,0,171
8,0,0,0,1,1,0,0,0,0,1758
9,0,0,0,0,0,1,0,0,0,402
10,0,1,0,0,0,0,0,0,0,717
11,0,0,0,0,0,0,0,0,1,737
12,0,0,0,0,1,0,0,0,1,539
13,1,0,0,0,0,0,0,0,0,1305
14,0,1,0,0,0,0,1,0,0,393
15,0,0,0,0,0,0,1,0,0,564
16,0,1,0,1,1,0,0,1,0,110
17,0,1,1,0,0,0,0,0,0,133
18,0,0,1,0,0,0,0,0,0,783
19,0,0,0,1,1,1,0,0,0,67
20,0,0,0,1,1,0,0,1,0,778
21,1,0,1,0,0,0,0,0,1,3
22,0,0,0,0,1,1,0,0,0,197
23,0,0,0,1,0,0,1,0,0,16
24,0,1,0,0,0,0,0,0,1,8
25,0,0,1,0,1,0,0,0,0,20
26,1,0,0,0,1,0,0,0,0,38
27,1,0,0,1,0,0,0,0,0,46
28,0,1,1,0,0,0,0,0,1,8
29,0,0,0,1,0,0,0,1,1,14
30,1,0,0,0,1,1,0,0,0,11
31,0,0,0,1,0,0,0,0,1,48
32,0,1,0,0,0,0,0,1,1,9
33,0,1,0,0,0,0,0,1,0,170
34,0,1,1,0,0,0,0,1,0,13
35,0,1,0,1,0,0,0,0,0,34
36,1,0,0,0,0,0,1,0,0,36
37,0,0,0,1,0,0,0,1,0,81
38,1,0,0,1,1,0,0,0,0,75
39,0,0,1,1,1,0,0,0,0,37
40,1,1,0,1,1,0,0,0,0,14
41,1,0,1,0,0,0,0,0,0,92
42,0,0,0,1,1,0,0,0,1,60
43,1,0,0,0,0,0,0,0,1,24
44,1,1,0,0,1,0,0,1,0,21
45,0,1,0,0,1,0,1,0,0,13
46,0,1,0,0,1,0,1,0,1,6
47,0,1,0,1,0,0,0,1,0,21
48,0,0,0,0,1,1,0,1,0,3
49,0,0,1,0,0,0,1,0,0,11
50,0,1,1,0,1,0,0,1,0,12
51,0,1,0,1,0,1,0,0,0,1
52,1,1,0,0,0,0,1,0,0,26
53,0,0,1,0,0,1,0,0,0,10
54,1,1,0,0,0,0,0,0,0,182
55,0,1,0,1,1,0,0,0,0,60
56,0,1,0,0,1,0,1,1,0,9
57,0,0,0,0,0,1,0,0,1,38
58,0,1,1,0,1,0,0,0,0,5
59,0,0,0,0,0,1,1,0,0,5
60,0,0,0,0,1,0,0,1,1,11
61,0,1,0,1,1,0,1,1,0,12
62,1,0,0,0,1,0,0,0,1,26
63,0,0,0,0,1,1,0,0,1,57
64,0,0,0,1,0,1,0,0,1,6
65,0,0,0,1,1,0,1,1,0,9
66,0,0,1,0,0,0,0,0,1,18
67,0,1,0,0,0,0,1,0,1,12
68,1,1,0,0,0,0,0,0,1,4
69,0,0,0,1,1,0,0,1,1,10
70,0,1,0,0,0,1,0,1,0,5
71,0,0,0,0,0,0,1,0,1,6
72,0,1,1,1,1,0,0,1,0,5
73,0,0,1,1,1,0,0,1,1,2
74,0,1,1,1,0,0,0,0,0,7
75,0,0,1,0,1,1,0,0,0,2
76,0,1,1,1,1,0,0,0,0,9
77,1,0,0,1,1,0,1,1,0,1
78,0,1,1,1,0,0,0,1,0,1
79,0,0,0,1,1,0,1,0,0,22
80,0,0,0,0,0,0,0,1,1,11
81,0,0,1,0,1,0,0,1,0,11
82,0,1,0,1,1,0,1,0,0,20
83,0,0,0,1,0,1,0,0,0,64
84,0,0,1,1,1,0,0,1,0,28
85,0,1,0,1,0,0,1,0,0,9
86,0,0,0,0,0,0,1,1,0,3
87,1,0,1,1,1,0,0,0,0,6
88,1,1,1,0,0,0,0,0,0,49
89,0,0,1,1,0,0,0,0,0,27
90,0,1,0,0,1,0,0,0,0,32
91,1,1,0,1,1,0,0,1,0,8
92,1,0,0,0,0,0,0,1,0,8
93,1,0,1,1,0,0,0,0,0,6
94,1,0,0,0,1,0,0,1,0,10
95,0,0,1,0,1,0,0,0,1,13
96,1,1,0,0,0,0,0,1,0,11
97,0,1,1,1,1,0,0,1,1,2
98,0,0,0,0,1,0,1,0,0,12
99,0,0,1,0,0,1,0,1,0,1
100,0,0,0,1,0,0,1,1,0,1
101,0,1,0,0,1,0,0,0,1,8
102,0,1,1,1,1,1,0,0,0,1
103,1,0,0,1,0,0,0,1,0,4
104,1,0,1,0,1,0,0,0,0,4
105,0,1,1,0,0,1,0,0,0,3
106,0,1,0,0,0,0,1,1,0,5
107,1,0,0,1,1,0,0,1,0,24
108,0,1,0,0,0,1,1,0,0,6
109,0,1,0,0,0,1,0,0,0,8
110,1,0,0,0,0,1,0,0,0,11
111,1,1,1,0,0,0,1,0,0,4
112,1,1,1,1,1,1,0,1,0,1
113,1,1,1,0,0,0,0,1,0,3
114,1,1,0,1,1,0,1,1,0,1
115,1,1,0,0,1,0,0,0,0,3
116,1,1,1,0,1,1,0,0,0,1
117,0,0,0,1,1,1,0,0,1,4
118,0,0,1,1,0,0,0,1,0,9
119,0,1,0,1,1,0,0,1,1,3
120,0,1,0,0,1,1,0,1,0,8
121,1,1,1,0,1,0,0,0,0,4
122,0,0,0,1,0,1,0,1,0,11
123,0,1,1,0,1,0,1,0,1,2
124,0,0,1,1,1,0,1,0,0,2
125,1,1,1,0,0,0,0,0,1,3
126,0,1,0,0,1,0,0,1,1,12
127,1,0,0,0,0,1,0,0,1,2
128,0,0,0,0,1,0,1,0,1,6
129,1,0,0,1,0,0,0,0,1,2
130,0,0,1,0,0,0,0,1,1,4
131,0,1,1,0,0,0,1,0,0,7
132,1,1,0,0,1,0,0,0,1,3
133,1,0,1,0,0,0,0,1,1,1
134,0,0,0,1,1,1,0,1,0,14
135,1,0,0,1,0,1,0,0,1,1
136,0,0,1,0,1,0,1,0,0,1
