,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
103,0,0,1,0,1,0,0,0,0,0,0,1,0,111
104,1,1,0,0,1,0,1,0,1,0,0,0,0,1
105,0,1,0,0,1,0,0,0,0,0,0,0,1,1
106,0,0,1,0,0,0,0,1,1,1,1,0,0,49
107,1,0,0,1,0,0,0,0,0,0,0,0,0,68
108,0,1,0,0,0,0,0,1,0,0,0,0,0,105
109,0,1,0,0,0,0,0,0,0,1,0,0,0,63
110,0,1,0,1,0,0,0,0,0,1,0,0,0,11
111,0,0,0,0,0,0,0,1,0,1,0,0,0,301
112,0,0,1,1,0,0,0,0,0,0,0,1,0,23
113,0,0,1,0,0,0,0,1,1,1,0,1,0,74
114,0,0,1,0,0,0,0,0,1,1,0,1,0,31
115,0,0,0,0,0,0,0,0,0,0,1,0,1,16
116,0,0,0,0,1,0,1,0,0,1,0,1,0,2
117,0,0,1,0,0,0,0,1,0,0,1,1,0,103
118,0,0,1,1,1,0,0,0,0,0,1,0,0,91
119,0,1,0,1,0,0,0,0,0,0,0,1,0,20
120,1,0,0,1,0,0,0,0,0,0,0,1,0,7
121,0,0,0,0,1,0,0,1,0,0,0,0,0,93
122,0,0,0,1,0,0,0,0,1,1,0,0,0,48
123,0,0,1,0,0,0,0,0,1,1,0,0,0,154
124,0,1,1,0,0,0,0,0,0,0,1,0,0,158
125,1,1,0,0,0,0,0,0,0,0,1,0,0,48
126,0,0,1,1,1,0,0,1,0,0,1,1,0,10
127,1,0,1,1,0,0,0,0,1,0,0,0,0,3
128,1,0,0,0,0,0,0,0,0,0,0,0,1,17
129,0,0,0,0,0,0,0,0,0,0,0,0,1,171
130,1,1,1,0,0,0,0,0,0,0,0,0,1,2
131,1,0,0,0,1,0,0,1,0,0,0,0,0,14
132,0,0,0,1,1,0,0,0,0,0,1,0,0,96
133,0,0,0,0,0,0,0,1,0,0,0,0,1,281
134,0,0,0,0,0,0,0,1,0,0,0,1,0,196
135,0,1,0,0,0,0,0,0,1,0,0,0,0,86
136,1,1,1,1,1,0,0,0,0,1,0,0,0,2
137,0,0,0,0,0,0,1,0,1,0,1,0,0,17
138,0,1,1,0,0,0,0,0,1,1,1,0,0,19
139,1,0,0,0,1,0,0,0,0,0,0,1,0,24
140,1,1,1,1,0,0,0,1,1,0,0,0,0,1
141,0,0,0,0,0,0,1,0,0,0,1,0,0,41
142,0,0,1,1,0,0,0,0,0,0,1,0,0,92
143,0,1,1,1,0,0,0,0,0,0,1,0,0,49
144,1,0,1,0,0,0,0,1,0,0,0,0,0,27
145,1,0,0,1,1,0,0,1,0,0,1,0,1,1
146,0,0,1,0,0,0,0,0,1,0,1,1,0,14
147,1,0,0,1,1,0,0,0,0,0,0,1,0,6
148,0,0,1,0,0,0,0,0,0,1,0,0,0,71
149,0,0,1,0,1,0,0,0,0,1,0,0,0,6
150,0,1,0,0,0,0,0,0,0,0,1,0,0,150
151,1,1,1,0,0,0,0,0,0,0,1,0,0,49
152,0,0,1,1,1,1,0,1,0,0,1,1,0,2
153,0,1,0,1,0,0,0,0,0,0,1,0,0,32
154,0,1,0,0,0,0,1,0,1,0,0,0,1,2
155,0,1,1,1,0,0,0,1,1,0,1,0,0,1
156,0,0,1,1,1,0,0,0,1,0,0,0,0,34
157,0,1,0,0,0,0,0,1,0,0,1,0,0,16
158,0,1,0,0,0,0,0,1,0,0,0,0,1,18
159,1,0,1,1,1,0,0,0,0,0,0,0,0,35
160,0,0,0,0,0,1,1,1,1,0,0,0,0,8
161,0,1,0,0,0,0,0,1,1,1,0,1,0,4
162,0,0,1,1,0,0,0,1,0,0,0,1,0,48
163,1,0,0,0,1,0,0,1,0,0,1,0,0,6
164,0,0,1,1,0,0,1,1,0,0,0,0,0,3
165,0,0,0,0,1,0,0,0,0,0,0,0,1,7
166,0,0,1,0,0,0,1,1,1,0,1,1,0,4
167,0,0,1,0,0,0,1,0,0,0,1,0,0,85
168,0,0,1,1,1,0,0,0,0,0,0,1,0,37
169,0,0,1,0,1,0,0,0,1,0,1,0,0,12
170,0,0,0,0,0,0,0,1,0,0,1,1,0,136
171,0,0,0,0,0,0,0,0,0,0,0,1,1,13
172,0,0,0,0,0,0,0,0,0,1,1,1,0,14
173,1,0,0,0,0,0,0,0,1,1,0,1,0,13
174,0,0,1,0,0,0,1,1,0,0,1,0,0,30
175,1,0,0,0,0,0,0,1,0,0,0,0,1,33
176,1,0,0,0,0,0,0,0,0,1,0,0,0,93
177,1,0,1,0,0,0,0,0,0,0,0,1,0,38
178,0,1,0,0,0,0,0,0,0,0,0,0,1,15
179,0,0,0,1,0,0,0,0,0,0,1,0,0,74
