,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
81,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
82,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,3
83,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,69
84,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,76
86,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27
87,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2
88,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10
89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45
90,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7
91,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,48
92,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,47
93,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1
94,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,7
95,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,17
96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15
97,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
98,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26
100,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9
101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,217
102,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
103,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81
104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,41
105,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
106,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
107,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8
108,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
109,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,60
111,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6
112,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8
113,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60
114,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
116,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
117,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
118,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
119,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1
120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16
121,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,92
122,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,40
123,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,22
124,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20
125,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
126,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42
127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
128,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
129,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29
130,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,35
131,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
132,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,31
133,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
134,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,7
135,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
136,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,10
137,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4
138,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
139,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
140,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
141,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18
142,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
143,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,8
144,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,3
145,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,62
146,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68
147,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
148,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
149,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
151,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
152,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30
153,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
154,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4
155,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
156,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,9
157,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
158,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2
159,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1
160,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2
161,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
162,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
163,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
164,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20
165,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6
166,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
167,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
168,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
169,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12
170,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
171,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
172,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,12
173,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
174,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,2
175,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23
176,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6
177,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6
178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
179,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
180,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5
181,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
183,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
184,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
185,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6
186,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29
187,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33
188,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2
189,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
190,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6
192,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5
193,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
194,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
195,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
196,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8
197,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19
198,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
199,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
200,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16
201,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
202,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,8
203,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
204,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7
205,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
206,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10
207,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4
208,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
209,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
210,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
211,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
212,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,5
213,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23
214,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
215,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5
216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
217,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
218,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
219,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,41
220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
221,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
222,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,9
223,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26
224,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2
225,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
226,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
227,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
228,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4
229,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
230,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2
231,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
232,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14
233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
234,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,24
235,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
236,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8
237,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
238,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
239,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
241,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
242,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,12
243,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,20
244,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
245,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
246,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
247,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
248,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
249,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
250,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,44
251,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,94
252,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,2
253,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5
254,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
255,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
256,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
257,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
258,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
259,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1
260,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
261,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
262,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,17
263,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
264,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4
265,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11
266,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
