,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
142,0,1,1,1,0,0,0,0,1,1
143,1,1,0,1,1,1,0,0,1,1
144,1,0,0,1,0,1,0,1,1,2
145,1,1,0,0,1,1,0,0,1,1
146,1,0,0,0,1,1,0,1,0,1
147,1,0,0,1,1,1,0,0,0,3
148,0,0,1,0,0,0,1,0,1,1
149,1,1,0,0,1,1,1,0,0,1
150,1,1,1,0,1,0,1,0,0,2
151,0,1,0,1,0,0,0,1,0,2
152,0,0,0,1,0,0,1,1,1,1
153,1,1,0,1,0,0,0,0,0,2
154,1,0,0,0,0,1,0,1,1,1
155,0,0,1,0,1,0,0,1,0,2
156,1,0,0,0,1,1,0,0,1,1
157,1,1,1,1,0,1,0,0,1,2
158,0,1,1,0,0,1,0,0,1,1
159,0,1,1,0,0,0,0,0,1,1
160,1,1,0,1,0,1,1,0,1,1
161,0,1,1,0,0,1,0,1,0,1
162,0,1,1,1,0,0,0,0,0,1
163,0,1,1,0,0,0,0,1,0,1
164,0,1,0,0,0,1,0,1,0,1
