,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,8,simulation num
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,29528
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,907
2,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,2
3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,395
4,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1072
5,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,578
6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,332
7,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,606
8,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,33
9,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,464
10,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,45
11,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,19
12,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1
13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,313
14,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,838
15,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,472
16,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,382
17,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,407
18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,382
19,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1562
20,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,11
21,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,756
22,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,43
23,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1134
24,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,106
25,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,8
26,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,9
27,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,397
28,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,103
29,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,336
30,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,22
31,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,120
32,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,21
33,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,193
34,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,9
35,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,3
36,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,38
37,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,15
