,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
103,0,1,0,1,0,1,1,0,1,1,0,0,1,5
104,1,0,0,0,1,0,0,0,0,0,1,1,1,15
105,0,1,0,0,1,1,0,0,1,1,1,1,0,1
106,0,1,1,0,0,1,1,0,1,1,1,1,1,13
107,0,0,0,0,1,0,0,0,0,1,1,1,1,37
108,0,1,1,0,0,1,0,0,0,1,0,1,1,6
109,0,1,1,1,0,0,0,0,1,1,0,1,1,5
110,0,0,1,1,0,0,1,1,0,1,1,0,1,12
111,1,1,0,0,1,1,0,0,1,0,0,1,1,8
112,0,0,1,0,0,0,0,1,1,1,1,0,1,6
113,0,1,0,0,0,1,1,0,1,1,0,1,1,9
114,0,1,1,0,0,1,0,0,1,1,1,1,0,1
115,1,0,0,1,1,0,0,0,1,1,1,1,1,4
116,0,0,0,1,0,0,0,1,1,0,1,1,0,6
117,1,1,1,0,0,0,0,0,1,1,1,0,1,1
118,1,1,0,0,1,1,0,1,1,0,1,1,1,10
119,1,1,0,0,0,0,0,0,1,0,0,1,1,4
120,0,1,0,0,0,1,0,0,1,1,0,1,1,8
121,0,0,1,1,0,0,0,0,1,1,1,1,0,9
122,0,0,0,0,0,0,0,1,0,1,1,1,1,25
123,1,1,1,0,0,1,0,0,1,1,0,1,0,1
124,0,0,0,1,0,1,0,0,1,1,1,1,1,18
125,1,0,1,0,0,1,1,0,1,0,0,1,1,7
126,1,1,0,1,1,1,0,0,1,0,1,1,1,10
127,1,1,1,0,1,1,0,0,0,1,1,1,1,1
128,0,0,0,0,1,1,0,0,1,0,1,1,1,6
129,0,1,0,1,1,1,0,0,1,0,1,1,1,1
130,1,1,0,0,0,0,0,0,0,1,1,1,1,12
131,1,0,1,0,1,1,0,0,1,0,0,1,1,6
132,1,0,1,1,0,0,1,1,0,1,1,0,1,4
133,1,0,0,1,0,0,0,0,1,1,1,1,1,12
134,0,0,1,0,0,0,1,1,1,1,1,1,1,3
135,1,1,0,1,1,1,0,1,1,0,1,1,0,3
136,1,0,0,1,0,0,0,1,0,1,1,0,1,1
137,0,0,0,0,0,0,0,0,0,1,0,1,1,3
138,1,0,0,0,1,1,0,0,1,1,1,1,1,30
139,0,1,0,0,1,0,0,0,0,0,1,1,1,10
140,1,0,1,0,0,0,0,0,1,0,0,1,1,4
141,0,0,0,1,0,0,0,1,1,0,1,1,1,5
142,0,1,0,1,0,1,0,0,1,1,0,0,1,1
143,0,0,0,0,0,1,0,0,1,1,1,1,0,14
