,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
81,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,222
82,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,4
83,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,45
84,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,31
85,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,56
86,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,13
87,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,108
88,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1
89,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,11
90,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1
91,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,8
92,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,10
93,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,31
94,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,33
95,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,19
96,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3
97,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2
98,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,10
99,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1
100,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
101,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,281
102,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,7
103,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,4
104,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,115
105,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,7
106,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,6
107,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8
108,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,2
109,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,9
