,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,Data,Data,Data,num
142,1,0,1,1,1,0,1,0,1,5
143,0,1,1,1,0,0,1,1,0,4
144,1,0,1,0,0,1,0,1,1,2
145,0,1,0,0,0,0,0,0,1,1
146,1,1,0,1,0,0,0,1,0,4
147,1,1,0,1,0,0,1,1,0,3
148,1,0,1,0,1,0,0,1,0,7
149,1,0,0,1,0,1,1,0,0,1
150,1,1,0,0,0,0,0,1,1,9
151,0,1,0,1,0,1,0,1,0,2
152,1,0,1,1,0,1,1,1,1,2
153,0,1,1,1,1,1,1,0,0,2
154,0,1,1,1,1,0,1,1,1,1
155,0,1,0,1,0,1,1,0,1,25
156,1,1,0,1,1,1,1,1,1,3
157,0,0,0,1,1,0,1,1,1,3
158,0,1,0,1,1,0,1,1,1,3
159,0,1,0,1,1,1,0,0,1,2
160,0,1,0,1,1,0,0,0,1,4
161,1,0,1,1,1,1,0,1,1,3
162,0,1,0,1,0,0,0,1,1,4
163,1,1,1,0,0,0,1,1,1,3
164,1,1,1,1,1,0,1,1,1,4
165,0,1,1,1,0,1,0,1,0,1
166,0,0,0,0,1,0,0,1,1,6
167,1,0,0,1,0,0,0,1,0,5
168,1,1,1,1,0,0,1,1,0,2
169,1,0,1,1,1,0,1,1,1,3
170,0,1,0,0,0,1,0,1,0,2
171,1,0,1,0,1,1,1,0,1,2
172,0,1,0,1,1,0,0,1,1,1
173,0,0,0,1,0,0,0,1,1,6
174,1,1,0,1,0,0,1,1,1,4
175,1,1,1,1,1,0,1,0,0,3
176,1,1,1,0,1,1,0,0,1,1
177,1,0,1,1,1,0,0,1,0,4
178,0,0,1,1,0,1,1,1,0,1
179,0,0,0,0,0,0,0,0,1,5
180,1,0,1,1,0,0,1,1,1,1
181,1,0,1,0,0,0,1,0,1,3
182,1,0,1,0,1,0,1,0,0,3
183,1,0,1,1,0,0,0,1,0,2
184,0,0,0,1,1,0,1,1,0,6
185,1,0,0,1,0,0,1,1,1,5
186,1,0,0,1,1,1,1,0,1,1
187,0,0,1,1,1,1,1,1,1,2
188,0,1,0,1,0,1,0,1,1,4
189,0,1,0,1,0,1,1,0,0,13
190,1,0,1,0,0,0,1,0,0,3
191,1,1,1,0,0,0,0,0,1,3
192,1,1,1,1,1,0,0,0,1,2
193,0,1,1,1,0,0,0,1,1,1
194,0,0,0,0,0,1,1,0,1,6
195,0,1,1,0,0,0,1,1,1,1
196,1,0,0,0,0,1,0,1,1,3
197,1,1,1,1,0,1,0,1,1,7
198,0,1,1,1,1,0,1,0,1,2
199,0,0,0,0,1,0,0,0,1,1
200,0,0,0,1,1,1,1,1,1,1
201,0,1,1,1,0,0,1,0,1,4
202,0,1,1,1,0,1,0,0,1,1
203,1,1,0,0,1,0,1,0,1,3
204,0,1,1,0,0,1,1,1,1,1
205,0,0,0,0,1,0,1,0,1,3
206,1,0,1,0,1,1,0,1,1,3
207,0,1,0,0,1,0,0,0,1,1
208,1,1,1,1,1,1,1,1,1,4
209,0,1,1,1,0,0,1,0,0,2
210,1,0,1,0,1,1,1,1,1,2
211,1,0,1,0,0,1,1,1,1,1
212,1,1,0,1,1,1,1,0,0,1
213,0,1,0,1,0,0,0,0,1,5
214,0,1,1,1,1,1,0,0,1,2
215,0,0,1,0,0,1,0,1,1,1
216,0,1,0,1,1,0,0,1,0,2
217,1,1,1,0,1,0,0,0,1,2
218,1,0,1,0,0,0,1,1,0,1
219,1,1,0,0,0,1,1,0,1,3
220,0,1,1,1,0,0,0,1,0,1
221,1,0,0,1,0,1,0,1,1,3
222,1,1,1,1,1,1,0,1,1,1
223,0,1,1,1,1,1,0,0,0,1
224,0,0,1,0,0,0,0,0,1,2
225,0,0,1,1,1,1,0,0,1,1
226,1,1,0,1,0,1,0,1,0,2
227,1,1,0,1,0,0,0,1,1,3
228,0,1,0,1,1,1,1,0,0,2
229,1,0,1,1,1,0,1,0,0,2
230,1,1,0,1,0,0,1,0,0,2
231,1,0,0,1,0,1,1,0,1,1
232,0,1,0,1,1,1,1,1,1,6
233,0,0,0,1,0,0,1,0,0,1
234,0,1,1,0,1,0,1,1,1,1
235,1,1,0,0,0,1,1,1,0,1
236,0,0,1,1,0,0,0,0,0,1
237,1,1,0,1,0,1,0,1,1,1
238,0,1,1,1,0,0,0,0,1,3
239,0,0,1,1,0,0,1,0,0,1
240,1,1,1,1,1,1,0,1,0,2
241,0,0,1,0,0,0,1,0,1,2
242,1,1,0,0,1,1,1,1,1,1
243,0,0,0,0,0,1,0,1,1,2
244,1,0,1,1,0,1,0,1,1,1
245,0,1,1,1,1,0,0,0,0,1
246,0,1,0,1,1,1,0,1,0,1
247,0,0,0,0,0,0,1,0,0,2
248,1,1,1,0,1,0,1,1,0,1
249,0,1,1,1,1,0,0,0,1,1
250,1,0,1,1,0,0,0,0,1,1
251,0,1,0,1,1,1,0,1,1,1
252,0,0,0,0,1,1,0,0,0,1
253,1,1,1,1,0,0,0,0,1,3
254,1,1,0,1,1,1,0,0,1,1
255,1,1,0,1,0,1,0,0,1,1
256,0,1,0,0,0,1,1,0,0,1
257,1,0,0,1,1,0,1,1,1,1
258,1,0,1,1,1,1,0,1,0,1
259,1,1,1,0,0,0,1,1,0,1
260,0,1,1,0,1,0,0,1,1,1
261,1,0,1,0,1,1,1,0,0,1
