,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,41269
1,0,0,0,1,0,0,0,0,0,1341
2,0,0,0,0,1,0,0,0,0,432
3,1,0,0,0,0,0,0,0,0,950
4,0,0,0,1,0,0,0,0,1,675
5,0,0,0,1,1,0,0,0,0,10
6,0,1,0,0,0,0,0,0,0,819
7,1,1,1,0,0,0,1,0,0,9
8,0,0,1,0,0,0,0,0,0,284
9,1,0,1,1,0,0,0,1,0,9
10,0,1,0,0,0,1,0,0,0,109
11,0,0,0,0,0,0,1,0,0,273
12,1,1,0,0,0,1,0,0,0,548
13,1,0,0,0,0,1,0,0,0,347
14,0,1,1,0,0,0,1,0,0,337
15,0,0,0,0,0,1,0,0,0,587
16,0,0,0,0,0,0,0,1,0,339
17,0,1,0,1,0,0,0,0,0,18
18,0,0,0,0,0,0,0,0,1,340
19,1,0,0,0,1,0,0,0,0,356
20,0,1,0,0,0,0,0,0,1,5
21,0,1,0,1,0,0,0,0,1,12
22,1,0,1,0,0,1,1,0,0,10
23,0,1,1,1,0,0,1,0,0,13
24,0,0,1,1,0,0,0,1,0,250
25,0,0,1,0,0,0,0,1,0,76
26,1,1,0,1,0,1,0,0,0,17
27,0,0,1,0,0,0,0,0,1,1
28,0,0,1,0,0,0,1,0,0,27
29,0,0,0,1,0,0,0,1,0,40
30,0,0,1,1,0,0,0,0,0,10
31,1,1,0,0,0,0,0,0,0,27
32,1,1,0,0,0,1,1,0,0,5
33,1,1,0,1,0,0,0,0,0,1
34,0,1,0,0,0,0,1,0,0,73
35,1,1,0,0,1,1,0,0,0,10
36,1,0,0,1,1,0,0,0,1,7
37,0,1,0,0,1,0,0,0,0,7
38,1,1,0,1,0,1,0,0,1,7
39,0,0,0,0,1,0,1,0,0,5
40,0,1,0,0,1,1,0,0,0,5
41,1,0,0,0,0,0,0,0,1,7
42,1,0,0,0,0,1,0,1,0,2
43,1,1,0,0,1,0,1,0,0,4
44,0,1,1,1,0,0,0,1,0,7
45,0,0,0,0,1,0,0,1,0,3
46,0,0,1,1,1,0,0,1,0,2
