,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,1,1,1,36933
1,0,0,0,0,0,0,0,0,0,0,1,0,1,263
2,0,0,0,0,0,0,0,0,0,1,1,1,1,434
3,1,0,1,0,1,0,1,0,0,0,0,1,1,403
4,1,0,0,0,0,0,0,0,0,0,0,1,1,394
5,0,0,0,0,0,0,0,0,0,0,1,1,0,478
6,0,1,0,1,0,1,0,0,0,0,1,1,0,419
7,1,1,0,1,1,1,0,0,0,0,0,1,1,1
8,1,0,1,0,1,0,1,0,1,0,0,1,1,327
9,1,1,0,1,1,1,0,1,0,1,1,0,1,10
10,0,1,0,0,0,0,0,1,0,0,1,1,0,41
11,0,0,0,0,0,0,0,0,1,0,1,1,1,282
12,1,1,0,1,0,1,0,1,0,1,1,1,1,9
13,1,0,1,0,0,0,0,0,0,0,0,1,1,371
14,0,0,1,0,1,0,0,0,0,0,0,1,1,6
15,1,1,1,1,1,1,1,1,0,0,1,0,1,148
16,0,1,0,1,0,0,0,0,0,0,1,1,1,147
17,0,0,0,1,0,0,0,1,0,0,1,1,0,99
18,0,0,0,0,0,1,0,0,0,0,1,1,1,298
19,0,0,0,1,0,0,0,0,0,0,1,1,0,90
20,0,0,1,0,0,0,0,0,0,0,1,1,1,152
21,0,0,0,1,0,0,0,1,0,1,1,1,1,15
22,0,0,0,0,0,0,1,1,0,0,1,1,1,2
23,1,0,1,0,1,0,1,0,0,0,1,1,1,14
24,0,1,0,1,0,1,0,1,0,1,1,1,0,310
25,1,0,1,0,1,0,0,0,0,0,0,1,1,376
26,1,0,0,0,0,0,0,0,0,0,1,1,1,172
27,0,1,0,1,0,1,0,0,0,1,1,1,1,21
28,1,1,0,0,0,0,0,0,0,0,1,0,1,189
29,0,0,0,0,0,0,0,1,0,0,1,1,1,293
30,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31,1,1,0,1,1,1,1,1,0,1,1,0,1,12
32,0,1,0,1,0,1,0,1,0,0,1,1,0,404
33,0,1,0,0,0,1,0,0,0,0,1,1,0,62
34,1,1,1,1,0,1,0,0,0,0,1,0,1,7
35,1,1,1,1,1,1,0,0,0,0,1,0,1,156
36,0,0,0,0,0,0,0,0,0,0,0,1,1,404
37,0,1,0,0,0,1,0,1,0,0,1,1,1,79
38,1,1,1,0,1,1,0,1,0,0,0,1,1,2
39,0,0,0,1,0,0,0,0,0,0,1,1,1,264
40,1,1,1,0,0,0,0,0,0,0,1,0,1,73
41,0,0,0,0,1,0,0,0,1,0,1,1,1,2
42,0,1,0,1,0,0,0,0,0,0,1,1,0,442
