,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
81,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,91
82,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,381
83,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,3
84,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,19
85,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,20
86,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,4
87,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,3
88,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,7
89,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,33
90,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,14
91,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,16
92,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,35
93,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
94,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,5
95,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,12
96,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,2
97,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,28
98,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19
99,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,37
100,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,6
101,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,119
102,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,41
103,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,29
104,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1
105,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,9
106,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,6
107,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,2
108,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,7
109,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,9
110,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,19
111,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,15
112,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,2
113,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,5
114,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,13
115,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2
116,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,132
117,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,14
118,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,3
119,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
120,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,55
121,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,83
122,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,5
123,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,3
124,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,2
125,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,6
126,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,19
127,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,7
128,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,4
129,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
130,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,7
131,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,15
132,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,29
133,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
134,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,8
135,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,29
136,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1
137,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1
138,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1
139,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,5
140,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,7
141,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,11
142,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,2
143,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,5
144,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,56
145,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1
146,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,46
147,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,85
148,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,45
149,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,10
150,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,4
151,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1
152,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,36
153,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,17
154,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,3
155,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,3
156,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,52
157,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2
158,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,4
159,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,18
160,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,45
161,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,23
162,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,18
163,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,5
164,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,21
165,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,43
166,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
167,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3
168,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,10
169,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,37
170,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,7
171,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,2
172,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,13
173,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,17
174,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,58
175,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1
176,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,4
177,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1
178,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2
179,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,13
180,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,68
181,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,6
182,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,6
183,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,2
184,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,6
185,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,9
186,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,26
187,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,32
188,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,16
189,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,3
190,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,18
191,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
192,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1
193,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,19
194,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1
195,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,3
196,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,14
197,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,2
198,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,6
199,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
200,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1
201,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,26
202,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,6
203,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,18
204,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1
205,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,15
206,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,50
207,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,4
208,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,5
209,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,8
210,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
211,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,5
212,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,5
213,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,4
214,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,7
215,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
216,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,25
217,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,18
218,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,9
219,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,7
220,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,4
221,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,10
222,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,58
223,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,10
224,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
225,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,8
226,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,2
227,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,4
228,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1
229,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,2
230,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,8
231,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,3
232,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,2
233,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,8
234,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,2
235,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,10
236,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,8
237,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,6
238,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,5
239,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,8
240,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,28
241,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,9
242,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,19
243,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2
244,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,25
245,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
246,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,11
247,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,22
248,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1
249,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1
250,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,3
251,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,12
252,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,14
253,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1
254,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,10
255,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
256,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,11
257,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,14
258,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,8
259,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,10
260,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,24
261,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,24
262,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3
263,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,14
264,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,2
265,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,2
266,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,2
267,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3
268,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
269,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,12
270,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,6
271,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
272,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1
273,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,5
274,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
275,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,21
276,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,12
277,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2
278,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,2
279,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,20
280,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,5
281,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1
282,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1
283,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,5
284,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,15
285,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,8
286,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
287,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,10
288,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,4
289,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,7
290,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,13
291,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,14
292,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1
293,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,4
294,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,4
295,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,14
296,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,2
297,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,11
298,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,5
299,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,4
300,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,10
301,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,4
302,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2
303,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
304,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,5
305,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
306,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1
307,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1
308,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1
309,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1
310,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,5
311,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,5
312,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
313,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,3
314,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,4
315,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,6
316,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
317,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,17
318,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2
319,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,12
320,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,2
321,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,35
322,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,5
323,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,16
324,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,5
325,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,14
326,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,30
