,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
119,1,1,1,1,1,0,1,0,0,1,0,5
120,0,1,1,0,1,0,1,0,0,0,1,2
121,1,1,1,1,0,1,0,1,0,1,0,5
122,1,0,1,0,0,0,1,0,1,1,1,2
123,0,0,1,0,1,0,0,1,0,1,1,1
124,0,1,0,0,1,1,0,1,1,1,0,1
125,1,1,1,1,0,0,0,0,1,0,0,5
126,1,0,0,0,0,1,0,0,0,1,1,2
127,1,1,1,0,0,0,0,0,0,1,1,6
128,1,1,1,0,1,1,0,0,1,0,1,7
129,0,0,0,1,0,0,0,1,1,1,0,4
130,1,0,1,1,0,0,0,0,0,1,1,5
131,0,1,0,0,0,0,0,0,0,1,0,4
132,0,1,1,1,1,1,0,1,1,0,0,18
133,1,0,0,0,0,0,0,0,0,0,1,7
134,0,0,0,0,0,1,0,1,1,1,0,8
135,1,1,1,0,1,0,1,0,0,1,1,4
136,1,1,1,0,0,1,0,0,1,0,0,3
137,1,1,0,1,0,1,0,0,1,0,1,7
138,1,1,1,0,1,1,1,0,1,0,0,3
139,1,0,1,0,1,0,1,0,0,1,0,4
140,1,1,1,0,0,0,0,0,0,1,0,5
141,1,1,0,1,0,1,0,0,0,1,1,3
142,0,1,0,1,1,1,0,1,1,1,0,8
143,1,1,0,1,0,1,0,0,1,1,0,4
144,1,1,1,1,1,0,0,0,0,0,1,2
145,0,0,0,0,0,0,1,0,0,1,1,1
146,1,1,1,1,0,1,0,0,1,0,1,4
147,1,0,1,1,0,1,0,0,0,1,1,1
148,1,1,0,1,0,1,0,0,1,1,1,4
149,1,1,0,0,0,0,0,0,1,0,0,6
150,0,1,0,0,0,0,1,0,1,1,0,6
151,0,1,0,1,0,1,1,1,0,0,1,2
152,0,1,0,0,0,0,0,0,0,0,1,7
153,0,0,1,0,0,0,0,0,0,1,1,18
154,1,1,0,0,0,0,0,0,1,1,1,7
155,0,1,1,1,0,1,0,0,1,0,1,1
156,0,1,0,1,0,0,0,0,1,0,0,6
157,1,0,0,0,0,0,0,0,1,1,0,4
158,0,0,0,1,0,1,0,0,1,0,0,1
159,1,0,1,0,1,0,1,1,1,0,0,2
160,1,1,1,1,1,1,0,1,1,0,1,17
161,1,0,0,0,0,0,1,0,1,1,1,3
162,1,0,1,0,1,0,0,0,0,1,0,7
163,0,1,0,1,1,1,0,1,1,0,0,14
164,0,0,0,1,0,0,1,0,1,1,0,4
165,0,0,1,0,0,1,0,0,1,1,0,1
166,0,0,1,1,1,1,1,1,1,1,1,3
167,1,0,1,1,1,1,1,1,1,0,1,7
168,1,0,1,1,1,1,0,0,1,0,1,6
169,1,1,0,1,1,1,0,0,1,0,1,2
170,1,0,0,0,0,1,0,0,1,0,1,4
171,1,1,1,0,1,0,0,0,1,0,1,7
172,0,1,0,1,0,1,0,1,0,1,1,2
173,1,1,0,0,1,0,1,1,1,1,1,1
174,1,1,1,0,0,1,0,0,0,1,0,4
175,1,1,0,0,0,0,0,0,0,0,1,5
176,1,1,1,1,1,1,0,1,1,1,0,8
177,0,0,0,1,1,0,1,1,1,1,1,1
178,0,1,0,1,0,1,0,1,1,0,0,15
