,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
81,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1
82,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6
83,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,14
84,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13
85,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7
86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23
87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
88,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
89,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23
90,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,4
91,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
92,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12
93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
94,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21
96,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9
97,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
98,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
99,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3
100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41
101,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,7
102,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65
103,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
104,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
105,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
106,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4
107,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
108,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2
109,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7
110,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16
