,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
81,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,3
82,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
83,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,6
84,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,32
85,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
87,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
88,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
89,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,209
91,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
92,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37
93,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,2
94,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15
95,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,23
96,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,118
97,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1
98,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,75
99,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1
100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
101,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8
104,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,5
105,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,8
106,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3
107,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
108,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
109,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37
110,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,15
111,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
112,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1
113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
114,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,3
115,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7
116,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
117,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
118,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16
119,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
120,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,4
121,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5
122,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16
123,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
124,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
125,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2
126,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
127,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
128,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,56
129,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
130,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
131,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,17
132,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,23
133,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,6
134,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,5
135,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3
136,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11
137,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
138,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,15
139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,11
140,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10
141,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,5
142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
143,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
144,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,27
145,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12
146,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8
147,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10
148,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,4
149,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,6
150,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14
151,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
152,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,11
153,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
155,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
156,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,5
157,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
158,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,30
159,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3
160,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10
162,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3
163,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
164,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,17
165,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,6
166,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
167,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,2
168,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7
169,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,5
170,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,3
171,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,15
172,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7
173,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
174,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,4
175,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,3
176,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,4
177,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8
178,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10
179,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18
180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
181,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,3
182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8
183,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1
184,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
185,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,7
186,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3
187,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
188,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,9
189,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
190,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
191,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6
192,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,13
193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
194,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
195,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,16
196,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1
197,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
198,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13
200,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2
201,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,2
202,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2
203,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,5
204,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14
205,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
206,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
207,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,14
208,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5
209,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
210,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
212,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1
213,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
214,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1
215,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8
216,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
217,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14
218,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
219,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
220,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5
221,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
222,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,4
