,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
141,0,0,0,1,0,0,0,0,0,0,0,1,1,50
142,0,1,1,0,0,0,0,1,0,0,1,1,1,38
143,1,0,1,0,0,0,0,1,1,1,1,0,1,5
144,0,1,0,0,0,0,0,1,0,0,0,1,1,4
145,0,0,1,0,0,0,0,0,0,0,1,1,0,28
146,1,1,0,0,0,0,0,0,0,0,1,1,1,165
147,0,0,0,0,0,0,0,1,0,1,1,1,1,170
148,0,0,1,0,1,0,1,1,1,0,1,0,1,6
149,0,0,1,0,0,0,0,1,1,0,1,0,0,10
150,0,0,1,0,1,0,0,0,0,0,1,1,1,244
151,1,0,1,0,0,0,0,1,0,0,1,1,1,35
152,0,0,1,0,1,0,0,1,1,0,0,1,0,1
153,0,1,0,0,0,0,0,1,1,0,0,1,1,8
154,0,0,0,0,1,0,0,1,1,1,1,1,1,21
155,0,1,1,0,0,0,0,0,0,0,1,1,1,221
156,0,1,1,0,0,0,1,0,0,1,1,1,1,1
157,0,0,1,0,0,0,1,0,1,1,0,1,1,2
158,0,1,0,0,0,0,0,0,1,0,1,1,1,56
159,0,0,1,0,1,0,0,1,0,0,1,0,1,53
160,0,0,1,1,1,0,0,0,0,0,1,0,1,62
161,1,0,0,0,0,1,0,0,0,0,0,1,1,3
162,0,0,0,0,0,0,0,1,0,1,1,0,1,35
163,0,1,0,1,0,0,0,1,0,1,1,1,0,1
164,0,0,0,0,0,1,1,0,0,0,1,1,1,46
165,0,0,1,0,0,0,1,0,0,0,1,1,1,49
166,1,0,0,0,1,0,0,0,0,0,1,1,1,65
167,0,1,1,1,0,0,0,0,0,0,0,1,1,33
168,0,1,1,0,0,0,0,1,1,0,0,0,1,2
169,0,0,0,0,0,1,1,0,0,0,1,0,1,4
170,0,0,0,0,1,1,0,1,0,0,1,1,1,4
171,0,0,0,1,0,0,0,0,1,0,1,1,1,24
172,1,1,1,1,1,0,0,0,0,0,1,1,1,15
173,0,0,0,0,0,0,1,1,1,0,0,1,1,35
174,0,0,0,1,0,0,0,0,1,0,1,0,1,8
175,0,0,0,1,0,0,0,1,0,1,1,1,0,7
176,0,0,1,1,1,0,0,1,0,0,1,1,1,42
177,0,0,1,0,0,0,0,0,1,0,1,1,1,109
178,0,0,1,0,0,0,0,1,1,1,0,1,0,9
179,0,0,0,0,0,0,0,1,1,0,0,0,0,1
180,1,0,1,0,0,0,0,0,1,0,0,1,1,16
181,0,0,1,0,1,0,0,0,0,0,0,0,1,48
182,0,0,1,1,1,0,0,0,0,0,0,1,1,57
183,1,0,0,1,1,0,0,0,0,0,1,1,1,32
184,0,1,1,1,1,0,0,0,0,0,1,0,1,15
185,1,1,0,1,0,0,0,0,0,0,1,0,1,11
186,0,0,1,0,0,1,0,0,0,0,1,1,1,32
187,1,1,1,0,0,0,0,0,0,0,0,1,1,34
188,0,1,1,1,1,0,0,0,0,0,0,1,1,7
189,0,0,1,0,0,1,0,1,1,0,1,1,1,6
190,0,1,1,1,1,0,0,1,0,0,1,1,1,5
191,0,1,0,1,0,0,1,1,1,0,1,1,1,7
192,0,0,1,1,0,0,0,1,0,0,1,1,1,21
193,0,0,0,0,0,0,0,0,1,1,1,0,1,38
194,0,0,0,0,1,1,0,0,1,0,1,1,1,1
195,0,0,0,1,1,0,0,1,0,1,1,1,1,8
196,0,0,0,0,0,0,1,0,0,0,1,0,0,1
197,0,0,0,0,1,0,0,1,1,0,1,1,1,49
198,0,0,0,0,1,0,0,0,1,0,1,0,1,34
199,0,0,0,0,0,0,0,1,1,0,0,0,1,25
200,1,0,1,1,1,0,1,0,0,0,1,1,1,3
201,0,0,0,1,1,0,0,0,1,0,1,1,1,24
202,1,0,1,0,0,0,0,1,1,0,1,0,1,26
203,1,0,1,1,0,0,0,0,1,0,1,1,1,3
204,0,1,1,0,0,0,0,0,0,0,1,0,1,35
205,0,1,1,1,0,0,0,1,0,1,1,1,0,3
206,0,0,1,0,0,1,0,0,0,1,1,0,0,2
207,0,0,0,1,0,0,0,0,1,1,1,1,1,11
208,0,0,0,0,0,1,0,1,0,1,0,1,1,1
209,1,1,0,0,0,0,0,0,0,0,1,0,1,21
210,0,0,0,0,1,0,0,1,0,0,1,1,0,13
211,0,0,1,0,0,0,1,1,0,0,0,0,1,2
212,1,0,1,0,0,0,0,1,0,0,0,1,1,11
213,0,0,1,0,0,0,1,0,0,0,0,1,1,59
214,0,0,1,0,0,0,1,1,1,0,0,1,1,62
215,0,0,0,0,0,0,1,1,1,1,1,1,0,5
216,1,1,0,0,1,0,0,0,0,0,1,0,1,7
217,1,1,0,0,1,0,0,0,0,0,1,1,1,17
218,0,1,1,1,0,0,0,0,0,1,1,0,1,3
219,0,0,0,1,1,0,0,1,1,0,1,1,1,31
220,0,0,1,0,0,0,1,1,0,0,1,1,1,18
221,0,0,0,0,0,0,0,1,0,1,1,1,0,79
222,1,1,0,0,0,0,0,0,1,0,1,0,1,1
223,0,0,0,0,0,0,1,0,0,0,0,1,1,34
224,0,1,1,1,0,0,0,1,0,0,1,0,1,18
225,0,0,1,0,0,1,0,0,1,1,1,0,0,1
226,0,1,1,0,0,1,0,1,1,0,0,1,1,1
227,0,1,1,0,0,0,0,1,0,0,0,1,1,8
228,0,0,1,0,1,0,0,0,0,1,1,1,1,7
229,0,0,1,0,0,0,0,1,0,1,1,0,0,5
230,0,1,1,1,0,0,0,0,0,0,1,1,0,9
