,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37534
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,766
5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,85
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,492
9,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,16
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,280
11,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,36
12,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,40
13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,220
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,559
15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,330
16,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,314
17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,218
18,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,28
19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,58
20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,83
21,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,353
22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,72
23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,464
24,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,275
25,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,313
26,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,217
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,212
29,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5
30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,166
31,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9
32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,263
34,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6
