,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,num
142,0,1,0,0,1,0,0,1,0,1
143,1,0,0,1,0,1,1,0,1,2
144,0,1,1,0,0,1,1,1,1,2
145,0,0,1,1,0,1,1,1,0,1
146,0,0,1,1,1,0,1,0,1,1
147,0,0,0,0,0,1,1,0,0,1
148,1,0,1,0,1,1,1,1,0,1
149,0,1,1,1,1,1,1,1,0,1
150,0,0,1,1,0,1,1,1,1,1
151,0,1,0,1,1,1,1,0,1,1
152,1,0,1,0,0,1,1,0,0,1
153,1,0,0,1,0,1,1,0,0,1
154,0,1,0,0,0,0,0,0,1,1
155,1,0,0,1,1,0,1,1,0,1
156,1,1,0,1,1,0,0,1,0,1
157,0,0,0,0,1,0,0,1,0,1
158,0,0,0,1,0,0,1,1,1,1
159,0,0,1,0,0,1,1,1,0,1
160,0,1,0,1,1,1,0,1,0,1
161,0,0,0,1,1,0,1,0,0,1
