,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
103,0,1,1,1,0,0,0,0,0,0,0,0,0,11
104,0,0,1,0,0,0,1,0,0,0,1,0,0,10
105,1,0,1,0,1,0,0,0,0,1,1,0,0,4
106,1,1,1,0,1,1,0,0,0,0,0,0,1,1
107,0,0,0,0,1,1,1,1,1,1,0,0,0,2
108,1,0,1,0,0,0,1,0,0,0,1,0,0,10
109,1,1,1,1,1,1,1,0,0,1,0,1,0,7
110,1,0,0,0,0,0,0,0,0,1,0,1,0,3
111,0,1,0,0,0,0,0,0,1,0,0,0,0,2
112,0,0,1,0,1,0,0,0,1,0,1,0,0,1
113,1,0,1,0,0,1,0,1,0,0,1,0,0,2
114,0,1,0,1,0,1,1,0,0,0,1,1,0,3
115,1,1,1,1,1,1,1,1,0,0,1,1,0,2
116,0,1,0,1,0,1,0,0,1,0,0,0,1,3
117,0,1,1,1,0,0,0,0,0,0,0,1,0,6
118,0,1,0,0,0,1,0,0,0,1,0,0,1,23
119,0,1,0,1,0,0,1,0,0,0,1,1,0,1
120,1,1,0,1,0,1,0,0,0,0,0,0,1,4
121,0,1,0,1,0,1,0,1,0,1,1,1,0,2
122,0,1,0,1,0,0,0,0,0,0,0,0,0,126
123,1,1,0,1,1,1,1,1,0,1,0,1,0,6
124,0,0,0,0,0,0,0,1,0,0,0,1,0,2
125,0,1,1,1,0,1,1,1,0,1,0,1,0,15
126,0,1,1,1,1,1,0,0,0,0,0,0,0,3
127,1,1,0,0,0,1,0,1,0,0,1,0,0,1
128,1,1,1,1,1,1,1,0,0,0,0,1,0,67
129,0,0,0,0,0,0,0,0,1,0,0,0,1,4
130,0,0,0,0,0,1,1,1,1,1,0,0,0,1
131,0,1,0,0,0,0,0,1,0,0,0,0,1,57
132,0,0,0,1,0,1,0,1,0,0,1,0,1,1
133,0,0,0,1,0,1,0,0,0,0,0,0,1,73
134,0,0,0,0,0,1,0,0,0,1,0,0,1,7
135,1,1,0,0,0,0,0,0,0,1,0,1,0,5
136,1,1,1,1,1,1,0,0,0,0,1,0,1,9
137,1,1,0,1,1,1,1,0,0,0,0,1,0,1
138,0,0,1,0,0,0,0,0,0,0,0,0,1,4
139,0,1,1,1,1,1,0,1,0,1,1,1,0,1
140,0,1,0,0,0,1,0,0,0,0,0,0,1,70
141,1,1,1,1,0,1,0,1,0,1,1,0,1,3
142,0,1,0,1,0,0,0,0,0,0,0,1,1,4
143,0,0,0,0,0,0,0,0,0,0,1,0,1,7
144,1,1,1,1,1,1,0,1,0,0,1,0,1,5
145,0,0,0,0,0,1,0,0,0,0,0,0,1,68
146,1,1,1,0,1,0,1,0,0,0,1,0,0,8
147,1,0,1,0,1,1,1,1,1,0,0,0,1,1
148,1,1,1,1,0,0,0,0,0,1,0,0,0,1
149,0,1,0,1,0,1,0,1,0,1,0,1,0,8
150,0,0,0,0,0,0,0,1,0,0,1,0,0,4
151,1,0,0,0,0,1,0,0,0,0,0,1,0,4
152,1,1,1,0,0,0,0,0,0,1,0,1,0,3
153,1,0,0,0,0,1,0,0,0,0,0,0,0,4
154,0,0,1,0,1,0,0,1,0,1,0,1,1,1
155,1,1,1,1,1,1,0,1,0,1,1,0,0,1
156,0,1,1,1,0,1,0,1,0,1,0,0,0,9
157,1,1,1,1,0,1,1,1,0,0,0,1,0,3
158,1,1,0,1,1,1,1,1,0,1,0,0,0,12
159,0,0,0,0,0,0,0,0,0,1,0,0,1,14
160,0,1,1,1,1,1,1,0,0,0,0,0,0,2
161,1,0,1,0,1,0,1,1,0,0,1,0,0,4
162,1,1,0,1,1,1,1,1,0,1,0,0,1,2
163,1,0,0,0,0,0,0,0,0,1,0,0,0,4
164,0,0,0,1,0,1,0,0,0,1,0,0,1,13
165,1,1,1,1,1,1,1,1,1,1,1,1,0,3
166,0,0,0,0,0,0,1,0,0,1,0,0,0,6
167,1,1,0,1,1,1,0,1,0,1,0,1,0,11
168,1,1,1,1,0,1,1,1,0,1,0,1,0,6
169,1,0,1,0,0,0,0,0,0,1,1,0,0,9
170,0,0,0,0,1,0,0,0,0,0,1,0,0,8
171,0,1,0,0,0,1,0,1,0,1,0,0,0,8
172,0,0,0,0,0,1,0,1,0,0,1,0,0,1
173,0,0,0,0,0,1,0,1,0,1,1,0,0,1
174,0,1,0,0,0,0,0,0,0,0,1,0,1,5
175,1,1,1,1,1,1,1,1,0,1,0,1,0,22
176,0,0,0,0,1,0,0,0,1,0,1,0,0,2
177,0,0,0,0,1,0,1,0,0,0,1,0,0,7
178,1,0,1,0,1,0,1,0,0,0,0,0,0,16
179,0,0,0,1,0,0,0,0,0,0,1,0,0,7
180,0,0,0,0,0,0,0,1,0,1,1,0,0,1
181,0,1,0,0,0,0,0,1,0,1,0,0,0,4
182,0,0,0,1,0,1,0,0,0,0,1,0,0,2
183,0,1,0,1,0,1,0,1,0,0,0,0,0,45
184,0,0,0,0,0,1,0,0,1,0,0,0,0,3
185,0,1,0,1,1,1,1,0,0,0,1,1,0,3
186,0,0,1,0,0,0,0,0,0,0,1,0,0,13
187,1,0,0,0,0,0,0,0,0,0,1,1,0,12
188,1,0,1,0,0,0,0,0,0,0,1,1,0,3
189,1,0,1,1,1,1,0,1,0,0,1,0,1,3
190,0,0,1,0,1,0,1,0,1,0,1,0,0,4
191,0,0,0,1,0,0,0,0,0,1,0,0,1,13
192,0,1,0,0,0,0,0,0,0,0,1,0,0,7
193,1,0,1,0,1,1,1,1,0,0,0,1,1,1
194,1,1,1,1,1,1,0,1,0,1,0,1,0,5
195,0,1,0,1,0,1,1,1,0,0,0,0,1,4
196,0,1,1,0,1,0,1,0,0,0,1,1,0,3
197,0,1,0,0,0,1,0,0,0,0,1,0,0,1
198,1,0,0,0,0,1,0,0,0,0,1,0,0,7
199,0,1,0,0,0,0,0,0,0,0,0,1,0,19
200,1,0,1,0,1,0,1,0,1,0,1,1,0,6
201,1,1,1,1,1,1,0,1,0,0,0,1,0,13
202,0,0,0,0,1,0,0,1,0,0,0,0,0,3
203,1,0,0,1,0,1,0,0,0,0,0,1,1,4
204,0,1,1,0,1,0,0,0,0,0,1,1,0,2
205,0,0,1,0,1,1,1,0,0,0,1,0,0,1
206,1,1,0,1,1,1,0,1,1,1,0,0,0,1
207,0,0,0,1,0,1,0,1,0,0,0,1,1,2
208,1,1,1,1,1,0,1,0,0,0,1,0,1,5
209,0,1,0,1,0,0,0,0,0,0,0,1,0,5
210,1,1,1,1,1,1,0,0,0,0,1,1,0,2
211,1,0,0,0,0,0,0,0,0,1,1,0,0,5
212,1,1,0,1,0,1,1,0,1,0,0,0,1,1
213,0,1,0,1,0,0,1,1,0,0,0,0,1,1
214,0,1,0,1,1,1,1,1,1,1,1,1,1,1
215,1,0,0,0,0,0,1,0,0,0,1,0,0,7
216,1,0,0,0,0,0,1,0,1,0,1,0,0,3
217,1,0,0,0,0,1,0,1,0,0,1,0,0,3
218,1,0,0,0,1,0,0,0,0,0,1,0,0,11
219,1,1,0,1,0,0,0,1,0,1,1,0,0,1
220,1,0,0,0,1,0,1,0,1,0,1,0,0,6
221,0,0,0,1,0,0,0,0,0,0,0,1,1,2
222,0,1,1,1,0,0,0,0,1,0,1,1,1,1
223,1,0,1,0,0,0,0,1,0,0,1,0,0,4
224,0,1,1,1,0,0,1,1,0,0,0,1,1,1
225,0,1,0,1,1,1,1,1,0,1,0,0,0,13
226,1,0,0,1,0,1,0,0,0,0,1,0,0,2
227,1,0,1,1,0,0,0,0,0,0,0,1,1,8
228,1,1,1,0,1,0,0,0,0,0,0,0,0,1
229,1,1,1,1,1,1,0,1,0,0,1,1,0,1
230,0,1,0,0,1,0,0,0,0,0,1,0,0,1
231,1,0,0,1,1,0,0,0,0,0,0,1,1,1
232,1,1,0,1,0,0,0,1,0,0,0,1,0,1
233,1,1,0,1,1,1,0,1,0,1,0,0,0,7
234,0,1,1,1,1,1,1,1,1,1,0,0,0,2
235,1,0,1,0,0,0,0,0,1,0,1,0,0,7
236,1,1,1,0,1,1,0,1,0,0,0,1,1,3
237,0,0,0,1,0,1,0,1,0,0,0,0,1,51
238,1,1,0,1,0,0,0,0,0,0,0,1,0,15
239,1,0,1,0,1,0,1,1,0,0,0,1,1,3
240,0,0,0,1,0,0,0,1,0,1,0,0,1,17
241,0,0,1,0,1,0,1,0,0,0,0,0,0,12
242,1,1,1,0,1,1,1,0,0,0,1,0,0,3
243,1,1,0,0,0,1,0,0,0,0,0,1,0,4
244,1,1,1,1,0,0,0,0,0,1,0,1,1,1
245,1,1,0,0,0,0,0,0,0,0,0,1,1,9
246,1,0,1,1,1,1,0,1,0,0,1,1,0,1
247,0,1,0,1,1,1,1,1,0,1,0,1,1,1
248,0,1,0,1,0,1,0,1,0,0,0,1,1,6
249,0,0,0,0,1,0,1,0,0,0,0,0,0,12
250,1,1,1,1,1,1,0,0,0,0,0,0,0,4
251,0,1,1,1,0,1,1,1,0,1,0,0,0,12
252,1,1,0,1,0,1,1,1,0,1,0,1,0,10
253,1,1,0,1,1,0,0,0,0,0,0,1,0,1
254,0,1,0,1,1,1,1,1,1,1,0,1,0,1
255,0,0,0,1,1,0,0,0,1,0,0,1,0,1
256,1,0,0,0,1,0,1,0,0,0,1,0,0,4
257,0,0,1,0,1,0,1,0,0,0,1,0,0,10
258,0,1,1,1,1,1,1,0,0,1,0,0,0,1
259,1,1,0,0,0,1,0,1,0,0,0,1,0,3
260,0,0,1,0,1,0,0,0,0,0,0,0,0,21
261,0,0,0,0,0,1,0,0,0,1,0,0,0,5
262,1,0,1,1,1,1,0,0,0,0,0,1,0,7
263,0,1,0,1,1,0,0,0,0,0,0,0,1,2
264,1,1,1,1,1,1,1,1,0,1,1,0,1,5
265,1,1,0,1,0,1,0,1,0,1,0,1,0,12
266,1,0,1,0,1,1,0,1,0,0,0,1,1,2
267,0,1,0,1,0,0,0,0,0,0,1,1,0,7
268,1,1,1,0,1,0,0,0,0,0,1,0,1,2
269,0,1,1,1,1,1,0,1,0,0,0,1,0,2
270,0,0,1,1,1,1,0,0,0,0,0,0,0,3
271,0,1,1,0,1,1,1,1,1,0,0,1,0,1
272,1,0,1,0,1,0,1,0,1,1,1,0,0,6
273,1,1,1,1,0,0,0,0,0,1,0,1,0,6
274,0,1,0,1,1,1,1,1,1,1,1,1,0,4
275,1,0,1,0,1,1,0,0,0,0,1,0,0,5
276,1,0,1,0,1,1,1,1,1,0,1,0,0,3
277,1,0,1,1,1,0,1,0,1,0,1,0,0,4
278,1,0,1,1,1,1,0,0,0,0,1,0,0,2
279,0,0,0,0,0,1,0,1,0,1,0,0,0,12
280,1,1,0,0,0,0,0,0,0,0,1,0,0,9
281,1,1,0,1,0,0,1,1,0,1,0,0,0,1
282,1,1,0,0,1,0,1,0,0,0,1,0,0,1
283,1,1,1,0,1,0,0,0,0,0,1,0,0,5
284,1,1,1,0,1,0,0,0,1,0,1,0,0,2
285,1,1,0,1,1,1,1,1,0,1,0,1,1,2
286,0,1,0,1,0,1,1,1,0,1,0,1,0,7
287,1,1,1,0,0,0,0,1,0,0,1,0,0,1
288,1,1,1,1,1,1,1,1,1,0,1,0,0,1
289,1,1,1,1,0,1,1,1,0,1,0,1,1,4
290,1,1,1,0,1,0,1,0,1,1,0,1,1,1
291,0,1,0,1,0,0,0,0,1,0,0,0,1,3
292,1,0,1,1,1,1,1,0,0,0,1,0,0,1
293,1,0,1,0,0,0,0,0,0,0,0,1,1,3
294,1,1,0,1,1,1,0,1,1,1,0,1,0,2
295,1,1,0,1,1,1,0,1,0,1,0,0,1,3
296,0,1,0,1,1,0,1,0,1,0,1,1,0,2
297,0,0,0,1,0,0,0,1,0,1,1,0,1,1
298,0,1,0,1,1,1,0,1,0,1,0,1,0,7
299,1,1,1,0,1,0,1,0,1,0,1,0,0,8
300,0,1,1,1,1,1,0,1,0,1,0,1,0,10
301,1,1,1,0,0,0,1,1,1,0,1,0,1,1
302,0,0,1,0,0,0,0,0,0,1,0,0,0,3
303,1,1,1,0,1,0,1,0,0,0,0,1,0,1
304,0,1,1,1,0,0,0,1,0,1,1,1,1,1
305,0,0,0,1,0,0,0,1,0,1,0,0,0,2
306,1,0,0,0,1,0,1,0,0,0,0,0,0,2
307,0,1,0,1,1,0,0,0,0,0,1,0,1,3
308,0,1,0,1,1,1,0,1,0,1,1,0,1,1
309,1,1,1,1,1,1,1,1,1,1,1,0,0,1
310,1,1,1,1,0,1,0,1,0,0,1,0,0,1
311,0,1,0,0,1,0,0,0,0,0,1,1,0,1
312,1,0,1,0,0,0,0,0,0,0,1,0,1,6
313,1,0,1,0,0,1,0,0,0,1,1,0,1,1
314,1,0,1,0,1,0,0,0,0,0,1,0,1,5
315,1,0,1,0,1,0,1,0,0,0,1,0,1,4
316,1,0,1,0,1,0,1,0,1,0,1,0,1,2
317,1,0,1,1,1,0,1,1,0,0,1,0,1,6
318,1,0,1,1,1,1,1,0,1,0,1,0,1,3
319,0,1,1,0,0,0,0,0,0,0,0,0,1,1
320,1,1,0,0,0,0,0,1,0,0,1,0,1,2
321,1,1,0,1,0,0,0,0,0,0,1,0,1,4
322,0,1,0,1,1,1,0,1,0,1,0,0,0,7
323,1,1,0,0,0,0,0,0,0,0,1,0,1,2
324,1,1,1,0,1,1,1,1,0,0,1,0,1,1
325,0,1,0,1,1,1,1,1,0,0,0,0,0,1
326,1,0,1,0,1,1,0,0,0,0,0,1,1,7
327,1,0,0,0,0,1,0,1,0,0,0,1,1,1
328,1,1,1,1,1,1,1,0,0,0,1,0,1,4
329,0,1,0,1,0,1,1,1,1,1,1,1,0,7
330,0,1,1,1,0,1,0,0,0,0,1,1,0,1
331,0,0,1,0,1,0,1,1,1,0,0,1,1,1
