,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,57
82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17
83,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
85,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
86,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6
87,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
88,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,42
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
90,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
91,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,41
92,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,13
93,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6
95,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17
97,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
99,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
101,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,16
102,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7
103,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,9
104,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,24
105,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9
106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,89
107,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15
108,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
109,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,34
110,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20
111,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
112,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14
113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,43
114,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,8
115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19
117,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
118,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6
119,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
120,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,3
121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,61
122,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
124,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,22
125,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
126,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
