,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
,0,1,2,3,0,1,2,3,0,1,2,3,4,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38097
1,0,0,0,0,1,0,0,0,0,0,0,0,0,549
2,1,0,0,0,0,0,0,0,0,0,0,0,0,219
3,0,0,0,0,0,0,0,0,0,1,0,0,0,509
4,0,0,0,0,0,1,0,0,0,0,0,0,0,618
5,0,0,0,1,0,0,0,1,0,0,0,0,0,452
6,0,1,1,0,0,1,1,0,0,0,1,0,0,326
7,0,0,0,0,0,0,1,0,0,0,0,0,0,232
8,1,1,0,0,0,0,0,0,0,1,0,0,0,475
9,0,0,0,1,0,0,0,1,0,0,0,0,1,498
10,0,1,1,0,0,1,0,0,0,0,1,0,0,68
11,0,0,0,0,0,0,0,1,0,0,0,0,0,729
12,1,0,0,0,0,0,0,0,1,1,0,0,0,6
13,0,1,0,0,0,1,0,0,0,0,0,0,0,164
14,0,0,0,1,0,0,0,0,0,0,0,0,1,349
15,0,0,0,1,0,0,0,1,0,0,0,1,1,5
16,0,0,0,0,1,0,0,0,0,1,0,0,0,42
17,1,0,0,0,1,0,0,0,1,0,0,0,0,326
18,0,0,1,1,0,0,0,0,0,0,0,1,0,243
19,1,0,0,0,1,0,0,0,0,0,0,0,0,311
20,0,1,1,0,0,0,0,0,0,0,1,0,0,239
21,1,1,0,1,1,1,0,0,0,1,0,0,1,7
22,0,0,0,0,0,0,0,0,0,0,1,0,0,228
23,0,1,0,0,0,0,0,0,0,0,0,0,0,366
24,0,0,0,0,0,0,0,0,0,0,0,1,0,295
25,1,1,0,0,1,1,0,0,0,1,0,0,0,444
26,0,1,1,0,0,1,1,1,0,0,1,0,0,11
27,0,1,1,1,0,0,0,0,0,1,0,1,0,2
28,0,0,0,1,0,0,0,0,0,0,0,0,0,586
29,1,0,0,0,0,0,0,0,1,0,0,0,0,311
30,0,0,0,0,0,0,0,0,0,0,0,1,1,4
31,0,1,0,0,0,0,0,0,0,0,1,0,0,83
32,0,1,0,0,1,1,0,0,0,1,0,0,0,27
33,0,0,1,1,0,0,1,1,0,0,0,1,0,247
34,1,1,0,0,0,0,0,1,0,1,0,0,1,4
35,0,0,0,0,0,0,0,1,0,0,0,0,1,85
36,1,1,0,0,1,0,0,0,0,1,0,0,0,137
37,0,1,0,0,0,1,0,0,0,1,0,0,0,20
38,0,1,0,1,0,0,0,0,0,0,0,0,0,8
39,0,0,1,1,1,0,0,0,0,0,0,1,0,4
40,1,1,0,0,0,1,0,0,0,1,0,0,0,63
41,0,0,0,0,0,0,0,0,1,0,0,0,0,367
42,0,0,0,0,0,0,0,0,0,0,0,0,1,199
43,1,0,0,0,0,0,0,1,0,0,0,0,1,1
44,0,0,1,0,0,0,0,0,0,0,0,1,0,53
45,0,1,0,0,0,0,0,0,0,1,0,0,0,89
46,1,0,0,0,1,1,0,0,0,1,0,0,0,30
47,1,0,0,0,1,0,0,1,1,0,0,0,0,7
48,0,0,0,0,0,0,0,1,0,0,1,0,0,5
49,1,1,0,0,1,1,0,1,0,1,0,0,0,10
50,0,0,0,0,0,0,0,0,1,0,0,1,0,3
51,0,0,1,0,0,1,1,0,0,0,1,0,0,19
52,1,0,0,0,0,0,0,0,0,1,0,0,0,298
53,0,0,0,0,1,0,0,0,1,0,0,0,0,22
54,0,1,1,1,0,0,0,1,0,0,1,0,0,4
55,0,0,0,0,1,0,0,0,0,0,0,0,1,6
56,1,1,0,0,0,0,0,0,0,1,1,0,0,4
57,1,1,0,0,1,1,0,0,0,0,0,0,0,10
58,0,0,1,0,0,1,0,0,0,0,1,0,0,5
59,1,0,0,0,1,0,0,0,0,1,0,0,0,53
60,0,0,0,0,0,1,0,0,0,0,0,1,0,4
61,0,0,0,1,0,0,0,0,0,0,0,1,0,36
62,1,0,1,0,1,0,0,0,0,1,1,0,0,2
63,0,0,0,0,0,0,0,1,0,1,0,0,0,7
64,0,0,0,0,0,0,0,0,1,1,0,0,0,11
65,0,0,0,0,1,0,0,1,0,1,0,0,0,2
66,1,0,0,0,1,0,1,0,1,0,0,0,0,1
67,0,0,0,0,0,1,1,0,0,0,0,0,0,11
68,0,0,1,1,0,0,0,1,0,0,0,0,0,3
69,1,1,0,0,1,1,0,0,0,1,0,1,0,4
70,0,0,0,1,0,1,0,1,0,0,0,0,1,7
71,0,0,0,0,0,1,0,1,0,0,0,0,0,10
72,0,0,1,0,0,0,0,0,0,0,0,0,0,87
73,0,0,0,0,0,0,1,1,0,0,0,0,0,10
74,0,1,0,0,1,1,0,0,1,1,0,0,0,7
75,1,1,1,0,0,0,0,0,1,0,1,0,0,3
76,0,0,1,1,0,0,1,0,0,0,0,1,0,44
77,0,1,0,1,0,0,0,1,0,1,0,0,0,2
78,0,1,0,0,1,1,0,0,0,0,0,0,0,5
79,0,0,0,1,0,1,0,1,0,0,0,0,0,8
80,1,1,0,0,0,0,0,1,0,1,0,0,0,9
