,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
73,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,102
74,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,61
75,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5
76,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
77,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5
78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,290
80,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,172
81,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,40
82,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2
83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,112
84,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,10
85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7
86,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,260
87,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
88,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
89,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1
90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35
91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
92,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8
93,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79
95,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
96,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
97,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6
98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9
100,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,8
101,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
104,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,39
105,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,17
106,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16
108,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
109,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,401
110,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
111,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
112,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2
113,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
114,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
115,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46
116,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
117,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
118,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,9
119,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,38
120,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5
121,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5
122,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
123,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,177
124,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
125,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50
126,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4
127,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
128,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,12
129,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
130,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
131,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21
133,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,38
134,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
136,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
137,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,217
138,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39
139,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
140,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3
141,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1
142,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
143,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
144,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,8
145,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
146,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15
147,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,3
148,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,15
149,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
150,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,5
151,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,16
152,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
153,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2
154,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
155,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
156,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
157,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
158,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
159,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3
160,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,3
161,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,5
162,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8
163,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
164,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
165,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
