,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,Data,Data,Data,num
142,1,1,1,1,1,0,1,0,1,6
143,1,1,1,0,1,0,1,1,0,2
144,0,1,1,1,1,1,0,1,0,5
145,1,0,1,0,0,0,0,1,1,5
146,1,0,0,1,0,0,0,0,1,1
147,1,1,0,0,0,1,0,0,1,1
148,0,1,0,1,1,1,1,1,0,8
149,1,1,1,1,1,1,1,0,0,1
150,1,1,0,0,0,0,1,1,0,4
151,1,1,1,1,1,1,1,1,0,4
152,0,1,0,0,1,0,0,0,0,10
153,1,0,1,1,1,0,0,0,0,2
154,1,1,0,0,0,1,1,0,1,1
155,0,1,0,0,0,0,1,0,0,4
156,1,1,0,0,0,1,0,1,0,5
157,0,0,0,1,0,1,0,1,0,1
158,1,1,0,1,0,0,0,1,0,11
159,1,0,0,0,0,0,0,0,1,1
160,0,1,1,0,0,0,1,1,0,6
161,1,0,1,1,1,1,0,1,1,5
162,0,0,1,1,1,1,0,0,0,4
163,0,0,0,0,0,0,0,1,1,5
164,1,1,0,0,0,0,0,0,0,14
165,1,1,0,1,1,1,0,0,0,5
166,0,0,0,1,1,0,0,0,1,6
167,0,0,1,1,0,0,1,0,1,1
168,0,1,1,1,0,0,0,0,1,3
169,1,0,1,0,0,1,0,1,1,3
170,0,0,0,1,0,1,1,1,1,1
171,1,0,1,0,1,1,0,1,0,3
172,1,0,1,0,1,0,1,0,1,4
173,1,1,1,1,0,1,1,1,1,2
174,1,1,1,1,1,0,1,0,0,2
175,0,0,0,1,1,1,0,0,0,1
176,1,1,0,0,0,1,0,1,1,1
177,0,1,1,1,1,0,0,1,0,1
178,0,0,1,0,0,1,0,0,0,4
179,0,0,1,0,0,1,0,1,1,1
180,0,0,0,0,1,0,0,1,0,1
181,1,0,1,1,1,0,1,0,0,9
182,1,1,0,0,0,0,1,1,1,1
183,1,0,1,1,0,0,0,1,1,3
184,0,1,0,0,1,1,0,1,0,1
185,1,1,1,1,1,1,0,0,1,1
186,1,0,0,0,0,1,0,0,0,3
187,1,1,1,0,0,0,1,1,0,2
188,1,1,0,0,0,0,0,0,1,3
189,1,1,0,1,1,1,0,1,0,5
190,0,1,0,0,0,1,0,1,0,2
191,0,1,1,0,1,0,1,1,0,2
192,1,1,1,0,1,0,1,0,1,3
193,1,1,0,1,0,0,1,0,1,4
194,0,1,1,1,1,1,0,0,1,1
195,0,1,1,1,0,1,1,1,0,1
196,0,1,1,0,0,1,0,1,0,1
197,1,0,1,1,1,0,1,0,1,2
198,0,1,0,1,1,0,1,1,0,7
199,0,0,0,0,0,0,1,1,0,3
200,0,1,1,1,0,0,1,1,1,1
201,1,0,0,1,0,1,0,0,0,2
202,0,0,1,1,1,0,1,1,0,1
203,0,0,1,1,0,1,1,0,0,1
204,1,1,1,1,1,0,0,0,0,1
205,1,1,0,1,1,1,1,1,0,1
206,1,0,0,1,0,1,1,0,1,2
207,1,1,0,1,0,0,1,0,0,4
208,0,1,1,1,1,1,1,0,0,1
209,1,1,1,0,0,1,0,1,1,2
210,0,0,0,0,0,1,1,0,1,1
211,1,0,1,1,1,1,1,1,0,1
212,0,0,1,1,0,1,0,0,0,2
213,1,0,1,0,1,0,0,1,0,1
214,0,1,0,1,0,1,1,1,0,1
215,0,1,1,1,0,0,1,0,0,3
216,0,0,1,0,0,0,0,1,0,1
217,1,0,0,1,1,1,0,0,1,1
218,1,1,0,1,1,1,0,0,1,3
219,0,1,0,0,1,1,0,0,0,1
220,1,0,1,0,0,0,1,1,0,3
221,1,0,0,1,0,1,0,1,0,1
222,0,1,0,1,1,1,0,0,1,3
223,0,1,1,1,0,1,1,1,1,1
224,0,1,1,1,1,0,1,1,0,1
225,0,1,0,0,0,0,1,1,0,1
226,1,0,1,1,1,1,1,0,0,1
227,1,1,0,1,1,0,0,1,0,2
228,0,0,0,0,1,0,0,0,1,3
229,0,0,0,1,0,0,0,1,1,1
230,0,1,0,1,1,0,0,0,0,2
231,0,0,0,1,0,1,1,0,0,1
232,1,1,1,1,1,1,0,1,1,6
233,0,1,1,1,0,0,1,1,0,2
234,1,0,0,0,1,0,0,0,0,2
235,0,0,1,1,0,1,0,1,1,1
236,0,0,0,0,0,1,0,1,0,3
237,1,1,0,0,0,1,1,0,0,1
238,1,1,1,1,0,1,1,0,1,2
239,0,1,1,0,0,0,1,0,0,1
240,1,1,1,0,1,1,0,1,1,1
241,0,1,1,0,0,0,0,1,0,1
242,1,0,1,0,1,0,1,1,0,1
243,0,1,1,1,0,0,0,1,1,1
244,0,0,1,1,0,0,1,0,0,1
245,1,0,1,1,0,1,0,1,0,1
246,1,0,0,0,0,1,0,1,1,1
247,0,1,0,1,0,0,1,0,0,2
248,1,1,0,1,1,1,1,0,1,1
249,1,1,0,0,1,1,0,1,0,1
250,0,0,0,0,1,1,0,0,1,1
251,0,1,1,1,0,1,1,0,1,1
252,0,1,1,1,1,0,0,0,0,1
253,0,1,1,0,1,0,1,0,0,1
254,1,1,1,0,0,1,1,1,1,1
255,1,0,1,0,0,1,1,0,1,1
256,1,1,0,1,1,0,1,0,0,1
