,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34531
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,733
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,237
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,392
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,410
9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,72
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,401
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136
12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,445
14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13
15,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7
16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,87
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143
20,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,11
21,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,170
22,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,207
23,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,323
24,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
25,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,170
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473
