,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60
91,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
92,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12
93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250
94,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,3
95,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9
96,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21
97,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,8
98,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5
99,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2
100,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24
101,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,110
102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,15
103,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
104,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,32
105,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,31
106,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5
107,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
108,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,34
109,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
110,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
112,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,21
113,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,23
114,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,18
115,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
116,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3
117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27
118,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,23
119,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,31
120,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19
121,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21
122,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1
123,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,5
124,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,5
125,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
126,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,41
127,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
128,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,8
129,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,103
130,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2
131,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3
132,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,10
133,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4
134,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,32
135,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
136,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,20
137,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,37
138,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7
139,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,15
140,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,15
141,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,9
142,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,3
143,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,11
144,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,7
145,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,14
146,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3
147,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21
148,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3
149,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1
150,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5
152,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6
153,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,10
154,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,26
155,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,10
156,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,34
157,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,44
158,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48
