,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
142,1,1,0,0,0,1,1,1,1,2
143,0,1,0,1,1,0,0,1,0,1
144,0,0,1,0,1,0,0,1,0,1
145,0,0,1,0,0,1,0,1,1,1
146,0,1,0,1,0,0,1,0,0,2
147,0,1,0,0,0,1,0,1,1,5
148,1,0,0,0,1,1,0,1,0,1
149,0,0,1,0,1,1,1,1,1,5
150,1,0,1,1,0,0,1,1,0,1
151,1,1,0,0,0,0,1,0,1,1
152,0,0,1,1,1,0,1,1,0,2
153,0,1,0,1,1,0,1,1,0,1
154,1,1,1,0,0,0,1,0,1,2
155,1,1,0,1,0,1,1,1,1,1
156,1,1,1,1,1,0,1,1,1,6
157,0,0,1,1,1,0,1,0,1,2
158,0,0,0,0,1,1,0,1,1,2
159,1,1,0,0,1,1,1,1,1,1
160,1,0,0,1,1,0,1,0,1,1
161,1,0,1,0,1,0,1,0,0,3
162,0,0,0,1,1,1,0,1,1,2
163,1,0,0,0,1,0,0,0,1,1
164,0,1,0,1,0,0,1,1,0,3
165,1,1,0,0,0,0,0,0,1,1
166,1,1,0,0,0,1,0,1,1,1
167,0,1,0,1,0,1,0,1,1,1
168,1,0,0,0,1,0,0,1,1,1
169,1,0,0,1,0,1,1,1,1,1
170,0,0,1,0,0,1,1,0,1,1
171,0,0,0,1,1,0,1,0,0,1
172,1,0,0,1,0,0,1,1,0,1
173,0,0,1,1,0,0,1,1,0,1
174,1,1,0,1,1,0,1,0,1,1
175,0,1,1,0,0,0,0,1,0,1
176,0,1,1,0,1,1,1,1,1,1
177,1,0,0,0,0,0,0,0,1,1
178,1,0,0,0,0,0,1,0,0,1
179,1,1,0,1,0,0,1,0,0,1
180,0,1,0,1,0,1,1,1,1,1
181,1,0,0,1,1,1,1,1,1,2
182,1,1,0,0,0,1,1,1,0,1
183,0,1,1,0,0,0,1,0,0,1
184,0,1,1,1,1,0,1,1,0,1
185,1,1,1,1,1,0,1,0,1,1
