,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
103,0,0,0,0,1,0,0,0,1,1,0,1,1,10
104,1,1,0,0,0,0,0,1,1,0,1,1,1,11
105,0,1,1,0,1,0,0,0,1,1,0,1,1,11
106,1,0,0,0,0,0,0,1,0,1,1,1,1,6
107,1,1,0,1,1,0,0,0,1,0,1,1,1,2
108,0,0,0,0,0,0,0,1,1,1,1,1,0,16
109,1,0,1,0,0,1,1,0,1,0,0,1,1,4
110,0,1,1,0,0,1,1,0,1,1,0,0,1,5
111,0,1,1,0,0,0,1,0,1,1,0,1,1,15
112,0,0,0,0,0,0,0,0,1,1,1,0,0,7
113,1,1,1,0,0,0,1,0,1,0,1,0,0,1
114,1,0,0,1,0,0,0,1,1,1,1,1,1,9
115,1,1,1,0,0,1,0,0,1,1,0,1,1,2
116,0,1,0,0,0,0,0,0,1,0,1,1,1,33
117,1,1,0,0,1,1,0,0,0,1,1,1,1,4
118,0,1,0,1,0,0,1,0,1,1,0,0,1,2
119,0,0,0,1,0,0,0,0,1,1,1,0,0,3
120,1,1,1,1,0,0,1,1,1,0,0,0,1,1
121,0,0,0,0,0,0,1,0,1,0,1,1,0,1
122,0,1,0,0,1,1,0,0,0,1,1,1,1,3
123,0,0,0,1,0,0,1,1,1,1,1,0,0,1
124,0,1,0,1,0,0,0,1,1,1,0,0,1,2
125,1,1,0,0,1,0,0,0,1,1,0,1,1,1
126,0,1,1,0,0,1,0,0,1,1,0,0,1,1
127,0,0,0,1,0,0,0,1,1,1,0,1,1,5
128,0,1,1,0,0,0,0,0,0,1,0,1,1,15
129,0,0,0,0,0,1,0,0,0,1,1,1,1,25
130,1,0,1,1,0,0,0,0,1,1,1,0,1,6
131,0,1,1,0,1,1,0,0,1,1,0,1,1,5
132,1,1,0,1,1,0,0,1,1,0,1,1,0,2
133,0,0,0,0,0,0,0,1,1,1,0,1,1,6
134,0,0,0,0,0,1,0,0,1,1,0,1,1,9
135,1,0,1,1,0,0,0,1,0,1,1,0,1,1
136,0,0,0,0,0,0,0,0,1,0,0,1,1,10
137,0,0,1,1,0,0,0,0,1,1,1,1,0,4
138,1,0,0,0,0,1,0,0,0,1,1,1,1,12
139,0,0,0,1,0,1,0,1,1,1,1,1,0,11
140,0,1,1,0,0,0,0,0,1,1,1,1,1,15
141,0,1,0,0,1,1,0,0,1,0,1,1,1,8
142,0,1,1,1,0,1,0,0,1,1,1,0,1,3
143,0,0,0,1,0,0,0,0,1,1,0,1,1,7
144,1,1,0,0,0,1,0,0,0,1,1,1,1,3
