,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,35
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,295
2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,129
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,35537
4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6
5,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,394
6,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,68
7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,436
8,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,31
9,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,273
11,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,410
12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,237
13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,136
14,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,146
15,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,39
16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364
17,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,180
18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,362
19,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,6
20,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2
21,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,6
22,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
23,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,346
24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,159
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,370
26,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,31
27,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,357
28,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,38
29,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,6
30,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,24
31,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,3
32,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,36
33,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1
34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,444
35,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,4
36,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,185
37,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,285
38,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,32
39,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,244
40,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,70
