,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34570
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,148
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,445
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,731
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,133
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,439
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,401
9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,14
10,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,295
11,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,218
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,492
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,331
14,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,311
15,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,2
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,423
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32
18,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,50
19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,338
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,242
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,263
22,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,48
23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40
24,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7
25,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5
26,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,22
27,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,337
28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,21
29,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29
31,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,315
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310
33,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,34
34,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,227
35,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,283
36,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,3
37,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,225
38,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,4
39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,26
40,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,9
