,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3
81,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,2
82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,152
83,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,16
84,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,6
85,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,24
86,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11
87,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3
88,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3
89,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,8
90,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1
91,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,15
92,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,4
93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,154
94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4
95,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,26
96,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,12
97,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3
98,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,15
99,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
100,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,23
101,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,3
102,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,17
103,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,4
104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,152
105,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
106,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,20
107,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,8
108,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,22
109,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,23
110,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,5
111,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2
112,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,52
113,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,2
114,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
