,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
103,1,1,0,0,0,0,1,0,1,0,1,1,1,7
104,0,0,0,0,1,0,1,0,1,1,1,1,1,2
105,0,1,0,1,1,0,1,1,1,1,0,1,1,5
106,0,0,1,1,0,1,1,1,1,0,1,1,0,6
107,0,0,0,1,0,0,1,0,1,1,0,1,1,3
108,1,0,0,0,0,1,0,1,1,1,1,1,0,7
109,0,0,0,0,0,1,0,1,1,1,1,1,1,10
110,0,1,1,0,0,0,1,1,0,1,1,1,0,18
111,0,0,0,0,0,1,1,1,1,1,1,0,1,56
112,0,1,1,0,0,0,1,1,1,1,1,1,1,37
113,0,1,0,0,0,1,1,1,0,1,1,1,0,4
114,1,0,1,0,0,0,1,1,1,1,1,1,1,19
115,0,0,1,1,0,0,1,0,0,0,1,1,1,3
116,0,0,0,1,1,0,1,1,1,1,1,1,1,18
117,0,0,0,1,0,0,1,1,1,0,1,1,0,4
118,0,0,0,0,0,0,0,1,1,1,1,1,0,24
119,0,0,1,0,0,1,1,1,1,1,1,1,1,15
120,0,1,0,1,1,0,1,1,1,1,1,0,1,1
121,1,1,0,1,0,0,1,1,1,1,1,1,1,2
122,0,0,1,1,0,1,1,1,1,0,1,1,1,12
123,0,1,0,1,0,0,1,1,0,1,1,1,1,3
124,0,0,1,0,0,0,0,1,1,1,1,1,0,1
125,0,1,0,0,1,0,1,1,1,1,1,1,1,1
126,0,0,0,0,0,0,1,0,0,1,1,1,0,3
127,0,0,0,0,0,0,0,1,1,1,0,1,1,8
128,0,0,0,0,0,0,0,0,0,1,1,1,1,1
129,0,0,0,1,0,1,1,1,1,1,1,1,1,20
130,0,0,0,1,1,1,1,1,1,1,0,1,0,4
131,0,0,0,0,0,1,1,1,0,1,1,0,0,4
132,0,0,1,1,1,0,1,1,0,0,1,1,1,1
133,0,1,0,0,0,0,1,1,1,1,1,1,0,9
134,0,0,0,0,1,1,1,1,1,1,1,1,0,5
135,0,0,0,0,0,1,1,0,1,1,1,0,0,1
136,1,1,0,1,1,0,1,1,0,1,0,1,0,1
137,1,0,0,1,0,0,1,1,1,1,0,1,1,4
138,0,1,1,0,0,1,1,1,1,1,1,1,0,2
139,1,0,0,0,1,0,1,1,1,1,1,1,1,9
140,1,0,1,1,0,0,1,1,1,0,1,1,1,18
141,0,0,1,1,0,0,1,1,0,1,1,1,1,8
142,1,1,1,0,0,0,1,1,1,1,1,1,1,2
143,0,0,0,1,0,1,1,1,1,0,0,1,1,2
144,0,1,0,1,0,1,1,1,0,0,1,1,0,2
145,1,1,1,0,0,0,1,0,1,0,1,1,1,4
146,0,0,0,1,1,0,1,1,0,1,0,1,1,14
147,0,0,0,1,1,1,1,1,1,1,1,0,1,1
148,0,0,0,0,0,0,1,0,1,0,1,1,1,11
149,0,0,1,1,0,0,1,1,1,0,0,1,1,6
150,0,1,1,0,1,0,1,1,0,1,1,1,1,4
151,1,0,0,1,0,0,1,1,1,0,0,1,1,1
152,0,0,0,0,0,0,0,0,1,1,0,1,1,1
153,0,0,1,0,1,1,1,1,1,0,0,1,1,2
154,1,0,0,0,1,0,0,1,1,1,1,1,1,1
155,1,0,0,0,0,1,1,1,1,1,1,0,0,3
156,0,0,0,0,0,1,1,1,1,1,0,1,0,7
157,0,0,0,0,0,1,0,1,1,1,1,1,0,7
158,0,1,0,0,0,1,1,1,0,1,1,1,1,4
159,0,1,1,0,0,1,1,1,0,1,1,1,1,9
160,0,0,0,1,1,0,1,0,1,1,0,1,1,5
161,0,1,0,0,0,1,0,1,1,1,1,1,1,1
162,1,1,0,0,0,0,1,0,1,1,0,1,1,3
163,0,0,0,0,0,1,1,1,1,1,0,1,1,8
164,0,0,0,1,1,1,1,1,1,1,0,1,1,8
165,0,1,0,0,0,0,1,1,1,0,1,1,1,6
166,0,0,0,0,0,1,1,1,0,1,1,0,1,2
167,1,0,0,0,1,0,1,0,1,1,1,1,0,1
168,1,0,0,0,0,1,1,1,1,1,1,1,0,15
169,1,0,1,0,0,0,0,1,1,0,1,1,1,1
170,1,0,0,0,0,0,0,1,1,1,1,1,0,21
171,0,0,0,1,1,0,1,1,1,1,1,0,1,2
172,0,0,1,1,0,0,1,1,0,0,1,1,0,1
173,1,0,0,0,0,1,1,1,1,1,1,0,1,3
174,1,1,1,1,0,0,1,0,1,1,1,1,1,2
175,1,0,0,0,0,0,0,1,1,1,0,1,1,7
176,1,1,1,0,0,0,1,1,0,1,1,1,1,11
177,0,1,1,0,0,1,1,1,0,1,0,1,1,1
178,0,0,0,0,0,1,1,1,0,1,1,1,0,16
179,0,0,1,0,0,0,1,1,1,1,1,0,1,11
180,1,0,0,0,0,0,1,0,0,1,1,1,1,9
181,0,0,0,0,0,0,1,0,1,1,1,1,0,19
182,0,0,0,0,1,0,1,1,1,1,1,1,0,11
183,1,0,0,1,0,1,1,1,1,1,1,1,1,2
184,0,1,0,0,0,0,1,1,0,0,1,1,1,4
185,1,1,0,0,0,0,1,0,1,1,1,0,1,5
186,0,0,0,0,0,0,1,0,1,1,0,1,1,3
187,0,0,0,0,1,0,1,1,1,1,0,0,1,5
188,0,0,0,0,0,1,1,1,1,0,1,1,0,8
189,0,0,0,0,0,0,0,1,1,0,1,1,0,1
190,1,0,0,0,0,0,1,1,1,1,1,0,1,15
191,1,0,1,1,0,0,1,0,1,0,1,1,1,4
192,0,0,1,1,1,0,1,1,1,0,0,1,1,3
193,1,0,0,0,0,1,0,1,1,1,1,1,1,9
194,0,0,0,1,0,1,1,1,1,1,1,0,0,4
