,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
66,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
67,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1
68,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,6
69,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,95
70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,8
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,334
72,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,15
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,7
74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,196
75,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,341
76,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,11
77,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,5
78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
79,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
80,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3
81,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1
82,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
83,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
84,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1
85,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,30
86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,148
87,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,77
88,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,46
89,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,17
90,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,2
91,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1
92,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,178
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,15
94,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,4
95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,6
96,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2
97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,89
98,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,107
100,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,102
101,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
102,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1
103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,267
104,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,2
105,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,39
106,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,74
107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,2
108,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,13
109,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,182
110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,82
111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12
112,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,27
113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
114,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,6
115,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,3
116,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1
117,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,18
118,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,12
119,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,3
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
121,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1
122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,166
123,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,185
124,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,5
125,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,24
126,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1
127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,12
128,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,4
129,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,2
130,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,6
131,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,165
133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5
134,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,6
135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
136,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22
138,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4
139,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
