,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,6,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33067
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,482
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,356
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,534
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,226
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,82
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,474
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,945
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,320
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,144
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,721
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,329
14,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,53
15,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6
16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,433
17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,206
18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
19,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,467
20,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1
21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,119
22,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,208
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,395
27,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1
28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,246
29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205
30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,415
31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,241
32,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,241
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57
35,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1
36,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,260
38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3
39,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
40,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1
41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,471
42,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
43,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156
45,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
46,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,294
47,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,52
48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,506
