,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
72,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,2
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,162
74,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9
75,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,21
76,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
77,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6
78,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,2
79,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
80,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
82,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2
83,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7
84,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1
85,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
86,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8
87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10
89,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
90,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,181
91,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38
92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
93,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2
94,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12
95,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
96,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
97,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,5
98,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
100,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,15
101,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,7
102,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,18
103,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11
104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,129
105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
106,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9
107,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,5
108,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
109,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,5
110,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53
112,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
113,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,6
114,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,191
115,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1
116,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
117,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,2
118,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2
119,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
