,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
90,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,3
91,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,128
92,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,10
93,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,35
94,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,4
95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,307
96,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,7
97,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20
98,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,2
99,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,48
100,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,32
101,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,13
102,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,88
103,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,28
104,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,2
105,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,20
106,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,27
107,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,18
108,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,87
109,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,47
110,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,3
111,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1
112,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,19
113,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,9
114,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,25
115,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,41
116,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,151
117,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15
118,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,5
119,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,4
120,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,20
121,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1
122,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,141
123,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,56
124,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,26
125,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1
126,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,9
127,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,3
128,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1
129,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,5
130,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,9
131,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,37
132,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,33
133,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
134,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,20
135,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,2
136,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,22
137,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
138,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,13
139,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3
140,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,9
141,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,32
142,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3
143,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,36
144,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,2
145,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,38
146,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,16
147,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,21
148,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,24
149,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9
150,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,17
151,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,75
152,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,10
153,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,8
154,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,31
155,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,10
156,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,15
157,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,2
158,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,14
159,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,12
160,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,8
161,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,9
162,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,45
163,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,66
