,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,58
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,331
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,89
75,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,12
76,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1
77,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,3
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,340
80,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,289
81,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,339
82,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4
83,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,8
84,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7
85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
86,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,3
87,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,4
88,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
89,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,11
90,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,3
91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,201
92,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
93,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,5
94,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5
95,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
96,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,56
97,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1
98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
99,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2
100,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
101,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,280
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,124
103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
104,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,108
105,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
107,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,99
109,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,58
110,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,2
111,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,4
112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,228
113,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
114,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3
115,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
116,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3
118,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,2
119,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,5
120,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,228
122,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4
123,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,14
124,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
125,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
126,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
127,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,6
128,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2
129,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1
130,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2
131,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
132,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
133,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3
134,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3
135,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,7
136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3
137,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
138,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,6
139,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,9
140,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,4
141,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,3
142,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
144,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
145,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,7
146,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5
147,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,52
148,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1
149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,5
150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,64
151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
152,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
153,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,11
154,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
155,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,3
156,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
157,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,9
158,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
159,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,9
160,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,6
161,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
162,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,39
163,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,2
164,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,6
165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1
166,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,4
167,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,3
168,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5
169,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
170,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
171,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2
172,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,8
173,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
174,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,6
175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,93
176,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,3
177,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
178,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2
179,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
180,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,3
181,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2
182,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,4
183,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2
184,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,7
185,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
186,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,5
187,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
188,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,11
189,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,63
190,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,7
191,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,8
192,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1
193,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
194,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,4
195,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,13
196,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5
197,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2
198,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
199,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,2
200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5
201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10
202,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
203,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
204,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,11
205,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1
206,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,2
207,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,52
208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,95
209,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,3
210,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
211,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
212,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,90
213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2
214,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2
215,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,2
216,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
217,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,4
218,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,17
219,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2
220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3
221,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
222,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,4
223,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,4
224,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,7
225,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4
226,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
227,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2
228,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
229,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2
230,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
231,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
232,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4
233,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
234,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4
235,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,8
236,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
237,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,2
238,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
239,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,12
240,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,8
241,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
242,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,4
243,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
244,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4
245,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,4
246,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2
247,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,5
248,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,11
249,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
250,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1
251,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,4
253,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6
254,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1
255,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2
256,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,3
257,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6
258,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,6
259,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,2
260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
261,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4
262,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4
263,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2
264,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,14
265,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,4
266,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,8
267,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
268,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,2
269,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,3
270,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3
271,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3
272,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3
273,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1
274,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,8
275,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,3
276,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,48
277,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,3
278,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,5
279,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1
280,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2
281,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,5
282,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,5
283,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,7
284,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
285,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
286,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1
287,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1
288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
289,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6
290,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
291,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,3
292,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
