,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
,0,1,2,3,4,5,0,1,2,3,4,5,6,simulation num
0,0,0,0,0,0,0,1,1,1,1,1,1,1,34819
1,0,1,0,0,0,0,0,1,1,1,1,1,1,20
2,0,0,0,0,0,0,1,0,1,1,1,1,1,584
3,1,0,0,1,1,0,0,1,1,1,0,1,1,4
4,1,0,0,0,0,0,0,1,1,1,1,1,1,485
5,0,0,0,0,0,0,1,1,0,1,1,1,1,1243
6,0,0,0,0,0,1,1,1,1,1,1,1,1,1074
7,0,0,0,0,0,0,0,1,1,1,1,1,1,798
8,0,0,1,0,0,1,1,1,1,0,0,1,1,1
9,0,0,1,0,0,0,1,1,1,1,1,1,1,832
10,1,0,0,0,0,0,1,1,1,1,1,1,1,1200
11,0,0,0,0,0,0,1,1,1,0,1,1,1,570
12,0,0,1,0,0,0,1,1,1,0,1,1,1,222
13,0,1,1,0,0,0,1,1,0,1,1,1,1,424
14,1,1,1,0,0,0,1,1,0,1,1,1,1,19
15,0,0,1,1,0,0,1,1,1,0,1,1,1,460
16,1,1,0,0,0,0,1,0,1,1,1,1,1,564
17,0,1,0,0,0,0,1,1,1,1,1,1,1,471
18,0,0,0,0,1,0,1,1,1,1,1,0,1,158
19,0,0,0,1,0,0,1,1,1,1,1,1,1,931
20,0,0,0,1,0,0,1,1,1,1,1,1,0,7
21,0,0,0,0,1,1,1,1,1,1,1,0,1,269
22,0,0,0,0,0,0,1,1,1,1,1,0,1,369
23,0,1,0,0,0,0,1,0,1,1,1,1,1,55
24,1,1,0,0,0,0,1,1,1,1,1,1,1,61
25,0,0,1,0,0,0,0,1,1,1,1,1,1,20
26,0,1,0,0,0,0,1,1,0,1,1,1,1,62
27,0,0,0,1,1,0,1,1,1,1,0,1,1,388
28,0,0,0,0,0,0,1,1,1,1,1,1,0,325
29,0,0,1,0,0,0,1,0,1,1,1,1,1,18
30,0,0,0,1,0,0,1,0,1,1,0,1,1,3
31,0,0,0,0,0,1,1,0,1,1,1,1,1,21
32,0,0,1,0,0,0,1,1,0,0,1,1,1,11
33,0,1,0,0,0,1,1,1,0,1,1,1,1,5
34,0,0,0,0,0,1,1,1,0,1,1,1,1,37
35,0,0,0,1,0,1,1,1,1,1,1,1,1,29
36,0,0,0,0,0,1,1,1,1,1,1,1,0,385
37,0,1,1,0,0,0,1,0,0,1,1,1,1,8
38,0,0,0,0,0,0,1,1,1,1,0,1,1,397
39,1,0,0,0,0,0,0,1,1,0,1,1,1,13
40,0,1,1,0,0,0,0,1,0,1,1,1,1,13
41,0,0,0,1,1,0,1,1,1,1,1,1,1,15
42,0,0,0,0,1,1,1,1,1,1,1,1,1,15
43,0,0,0,0,1,0,1,1,1,1,1,1,1,272
44,0,0,0,1,0,0,1,1,1,0,1,1,1,53
45,0,1,0,1,1,0,1,1,0,1,0,1,1,1
46,1,0,0,1,1,0,1,1,1,1,0,1,1,18
47,1,0,1,1,0,0,0,1,1,0,1,1,1,9
48,1,0,0,0,0,0,1,0,1,1,1,1,1,147
49,0,1,0,0,0,0,1,1,1,0,1,1,1,5
50,0,1,1,0,0,1,1,1,0,1,1,0,1,1
51,0,0,0,0,0,1,1,1,1,1,1,0,1,69
52,0,1,0,1,0,0,1,1,0,1,1,1,1,1
53,0,1,1,1,0,1,1,0,1,0,1,1,1,1
54,0,0,0,0,0,0,0,1,1,1,0,1,1,13
55,1,1,0,0,0,1,1,0,1,1,1,0,1,3
56,1,1,1,0,0,0,1,0,1,1,1,1,1,10
57,0,0,0,1,0,0,1,0,1,1,1,1,1,10
58,0,0,0,0,1,1,1,0,1,1,1,0,1,8
59,1,0,0,0,0,0,1,1,1,1,0,1,1,14
60,0,0,0,1,0,0,1,1,1,1,0,1,1,93
61,1,0,0,0,0,0,1,1,1,1,1,1,0,18
62,0,0,1,1,0,0,1,1,1,1,1,1,1,123
63,1,0,0,0,1,1,0,1,1,1,1,0,1,7
64,1,0,0,1,1,1,1,1,1,1,0,1,1,1
65,0,0,0,0,1,1,1,1,0,1,1,0,1,12
66,1,0,0,0,0,1,1,1,1,1,1,1,1,28
67,1,0,1,0,0,0,1,1,0,1,1,1,1,4
68,0,0,1,1,0,1,1,1,1,0,1,1,1,13
69,0,0,0,0,0,1,1,1,1,1,0,0,1,2
70,0,0,1,0,0,0,1,1,1,1,1,1,0,10
71,0,0,0,1,0,0,1,1,1,1,1,0,1,10
72,1,0,0,0,0,0,1,1,1,0,1,1,1,18
73,0,0,0,0,0,1,1,1,0,1,1,1,0,15
74,0,0,0,0,0,0,1,0,1,1,1,1,0,5
75,0,0,1,1,0,1,1,1,1,1,1,1,1,3
76,0,0,0,0,0,1,1,1,1,1,0,1,1,15
77,1,1,0,1,1,0,1,0,1,1,0,1,1,7
78,0,1,0,0,0,0,1,0,1,1,1,0,1,3
79,0,0,1,0,0,1,1,1,1,1,1,1,0,7
80,0,0,1,0,0,0,1,1,1,1,1,0,1,12
81,0,0,1,1,0,0,1,1,0,0,1,1,1,16
82,0,0,0,0,0,0,0,1,0,1,1,1,1,29
83,0,0,1,0,1,0,1,1,1,1,1,1,1,10
84,0,1,0,0,0,0,1,1,1,1,1,0,1,5
85,1,0,0,0,0,0,0,1,0,1,1,1,1,13
86,0,0,0,0,0,1,0,1,1,1,1,1,1,31
87,1,0,0,0,0,0,1,0,1,1,0,1,1,3
88,0,1,1,0,0,1,1,1,0,1,1,1,1,15
89,0,0,0,0,0,0,1,1,0,0,1,1,1,18
90,0,1,1,1,0,0,1,1,1,0,1,1,1,7
91,1,0,1,0,0,0,1,1,1,1,1,1,1,32
92,0,0,0,1,0,1,1,1,1,1,1,1,0,14
93,1,1,1,0,0,0,0,1,0,1,1,1,1,3
94,0,0,0,0,1,0,0,1,1,1,1,0,1,8
95,1,1,0,0,0,1,1,1,1,0,1,0,1,1
96,0,0,0,0,0,0,1,1,1,0,1,0,1,5
97,1,1,0,1,0,0,1,1,1,1,1,1,1,1
98,1,0,0,1,0,0,0,1,1,1,1,1,1,16
99,1,0,0,0,0,0,1,1,1,1,1,0,1,11
100,1,0,0,0,0,0,0,0,1,1,1,1,1,15
101,0,0,0,1,1,0,1,1,0,1,0,1,1,12
102,0,0,1,1,0,0,1,0,1,0,1,1,1,10
103,0,0,1,0,0,0,1,1,0,1,1,1,1,30
104,0,0,0,0,1,0,1,1,1,1,1,0,0,5
105,0,1,1,0,0,1,1,1,1,0,1,1,1,1
106,1,1,1,0,1,0,1,1,0,1,1,1,1,1
107,1,0,0,0,1,0,1,1,1,1,1,0,1,10
108,0,1,1,1,1,0,1,1,0,1,0,1,1,6
109,0,0,0,0,0,0,0,1,1,0,1,1,1,16
110,0,0,1,0,1,0,1,1,1,0,1,1,1,3
111,0,0,0,1,1,0,1,1,1,1,0,0,1,2
112,0,1,0,0,0,0,1,1,0,1,1,0,1,1
113,1,0,1,0,0,0,1,0,0,1,1,1,1,6
114,0,0,0,0,1,0,1,1,1,1,0,1,1,11
115,0,0,0,0,0,0,1,0,1,0,1,1,1,6
116,1,1,0,0,0,1,0,0,1,1,1,1,1,1
117,0,0,0,0,0,0,0,1,1,1,1,0,1,8
118,0,0,1,0,0,1,1,1,1,1,1,1,1,26
119,1,0,0,0,1,0,1,1,1,1,1,1,1,11
120,0,0,0,0,0,1,1,1,1,0,1,1,0,7
121,1,0,0,0,0,1,0,1,1,1,1,1,1,9
122,0,1,0,1,0,1,1,1,1,1,1,1,1,1
123,0,0,0,0,0,0,1,1,0,1,0,1,1,15
124,1,0,0,1,0,0,0,1,0,0,1,1,1,1
125,0,0,0,1,0,0,1,1,1,0,1,0,1,3
126,0,0,0,1,1,0,1,1,0,0,0,1,1,1
127,0,0,0,1,0,1,1,0,1,1,1,1,1,1
128,0,0,0,1,0,0,0,0,1,1,1,1,1,2
129,0,0,1,0,1,0,1,1,1,0,0,1,1,5
130,1,0,0,0,0,0,1,1,0,1,1,1,1,44
131,0,0,0,1,0,1,1,1,1,1,0,0,1,3
132,1,1,0,0,0,1,1,0,1,1,1,1,1,16
133,0,0,1,0,0,1,1,1,1,0,1,1,1,8
134,1,0,1,0,0,0,0,1,1,1,1,1,1,8
135,0,0,0,0,0,0,0,0,1,1,1,1,1,18
136,0,0,1,1,0,0,1,0,1,1,1,1,1,5
137,1,1,0,0,0,0,0,0,1,1,1,1,1,17
138,0,1,0,1,0,0,1,1,1,1,1,1,1,13
139,0,1,1,1,0,0,1,1,0,1,1,1,1,11
140,0,0,0,1,1,0,1,1,1,0,0,1,1,6
141,0,1,0,0,0,1,1,1,1,1,1,1,1,16
142,1,1,0,0,0,0,1,0,1,0,1,1,1,11
143,1,0,0,1,0,0,1,1,1,1,1,1,1,35
144,0,0,0,1,0,1,1,1,0,1,1,1,0,1
145,1,1,0,0,0,0,1,0,1,1,0,1,1,7
146,1,0,0,0,0,0,0,1,1,0,1,1,0,1
147,0,1,1,0,0,0,1,1,1,1,1,1,1,15
148,0,0,1,1,0,0,1,1,1,1,0,0,1,1
149,0,0,0,0,0,1,1,1,1,0,1,1,1,20
150,0,0,1,0,0,0,0,1,1,0,1,1,1,7
151,0,0,0,0,0,0,1,0,0,1,1,1,1,19
152,0,1,1,0,0,0,1,1,0,0,1,1,1,10
153,1,1,0,0,1,0,1,0,0,1,1,1,1,1
154,0,0,1,1,0,0,0,1,1,0,1,1,1,12
155,0,0,0,0,0,0,1,1,0,1,1,1,0,16
156,1,0,0,0,0,0,1,1,0,1,1,1,0,2
157,0,1,1,0,0,0,1,1,0,1,1,0,1,3
158,0,0,0,1,0,0,0,1,1,1,1,1,1,19
159,0,0,0,0,0,0,1,1,0,1,1,0,1,6
160,0,0,0,1,0,0,1,1,0,1,1,1,1,18
161,0,0,1,1,1,0,1,1,1,1,0,1,1,8
162,0,0,0,1,0,0,0,1,1,0,1,1,1,2
163,0,0,0,0,1,0,1,1,0,1,1,0,1,5
164,0,1,1,1,0,0,1,1,0,0,1,1,1,3
165,0,0,0,0,1,0,0,1,1,1,1,1,1,8
166,1,1,0,1,0,0,1,0,1,0,1,1,1,3
167,0,0,1,0,0,1,1,1,1,0,1,1,0,3
168,0,1,0,0,0,0,0,0,1,1,1,1,1,11
169,0,0,1,1,1,0,1,1,0,0,0,1,1,1
170,0,0,0,0,1,0,1,1,1,0,1,0,1,5
171,1,1,0,0,0,0,1,0,0,1,1,1,1,20
172,1,0,0,0,0,1,1,0,1,1,1,1,0,2
173,0,0,0,1,0,0,1,0,1,1,1,1,0,1
174,0,0,1,1,0,0,1,0,1,0,0,1,1,1
175,0,0,1,0,1,0,1,1,0,1,1,1,1,1
176,1,0,0,0,0,0,1,0,1,1,1,0,1,1
177,1,1,0,0,0,0,0,0,0,1,1,1,1,1
178,1,1,0,1,0,0,1,0,1,1,1,1,1,27
179,1,0,0,0,0,1,1,1,1,1,1,1,0,14
180,0,0,1,0,1,1,1,1,1,1,1,0,1,3
181,0,0,0,1,0,0,1,1,1,1,0,0,1,2
182,0,0,0,1,0,0,1,1,1,0,0,1,1,3
183,1,0,0,0,0,0,0,1,0,0,1,1,1,1
184,1,1,0,0,0,0,1,1,1,0,1,1,1,2
185,0,0,0,0,0,1,1,1,1,1,1,0,0,2
186,1,0,0,0,0,0,1,0,0,1,1,1,1,11
187,0,0,1,1,0,0,1,1,1,0,0,1,1,7
