,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,40474
1,0,0,0,0,1,0,0,0,0,0,0,150
2,1,0,0,0,0,0,0,0,0,0,0,161
3,0,0,0,1,0,0,0,0,0,0,0,459
4,0,0,0,1,0,1,0,0,0,0,0,79
5,0,1,0,1,0,0,0,0,0,0,1,254
6,0,0,1,0,0,0,0,0,0,0,0,161
7,1,1,0,0,0,0,0,0,0,1,0,200
8,0,0,0,0,0,0,0,0,1,0,0,328
9,1,0,1,0,1,0,1,1,1,0,0,3
10,0,0,0,1,0,1,0,1,0,0,1,38
11,1,1,0,1,1,1,1,1,0,1,0,6
12,0,0,0,0,0,1,0,0,0,0,0,473
13,0,1,0,0,0,0,0,0,0,0,0,576
14,1,0,0,1,0,0,0,0,0,0,0,3
15,0,0,0,0,0,0,0,1,0,0,0,807
16,0,0,0,0,0,0,1,0,0,0,0,300
17,0,1,0,1,0,1,0,0,0,0,1,286
18,1,1,1,1,1,1,0,1,0,1,0,43
19,1,0,0,0,0,0,0,0,1,0,0,355
20,0,0,0,1,0,0,0,1,0,0,0,21
21,0,1,0,1,0,1,0,1,0,0,1,432
22,0,0,0,0,0,0,0,0,0,1,0,261
23,1,1,0,1,1,0,1,1,0,1,0,1
24,0,1,0,1,0,1,0,1,0,0,0,390
25,0,1,0,0,0,0,0,0,0,0,1,269
26,0,1,0,1,0,0,0,0,0,0,0,86
27,1,0,1,0,0,0,0,0,1,0,0,342
28,0,1,0,0,0,1,0,0,0,0,1,31
29,1,1,1,1,1,1,1,1,0,1,0,274
30,0,0,1,0,0,0,0,0,1,1,0,1
31,0,0,0,1,0,0,0,0,0,0,1,25
32,1,1,1,1,1,1,0,0,0,1,0,191
33,0,1,0,0,0,1,0,0,1,0,0,1
34,0,1,0,1,0,1,0,0,0,1,1,3
35,0,1,0,0,0,1,0,1,0,0,0,8
36,0,0,0,1,0,1,0,0,0,0,1,32
37,0,0,0,0,0,0,0,0,0,0,1,188
38,1,1,1,1,0,0,0,0,0,1,0,230
39,0,1,0,1,0,1,1,1,0,0,1,3
40,1,0,1,0,1,0,1,0,1,0,0,347
41,0,1,0,1,1,1,1,1,1,1,0,2
42,1,1,0,0,0,1,0,0,0,1,0,4
43,1,1,1,0,1,1,0,0,0,1,0,5
44,1,1,1,1,0,1,0,0,0,1,0,36
45,1,0,1,1,1,0,1,1,0,1,1,1
46,0,1,0,1,0,1,0,0,0,0,0,29
47,0,1,0,1,0,0,0,1,0,0,1,46
48,1,0,1,1,1,1,1,1,0,1,0,4
49,1,0,1,0,0,0,0,1,1,0,0,7
50,0,1,0,1,0,1,1,1,0,0,0,2
51,0,0,0,0,0,1,0,1,0,0,0,86
52,0,0,0,0,0,1,0,0,0,1,0,6
53,0,0,0,0,1,0,1,0,0,0,0,14
54,0,0,0,0,0,0,0,1,0,0,1,17
55,1,0,1,0,1,0,0,0,0,0,0,10
56,1,1,1,0,0,0,0,0,0,1,0,36
57,0,1,0,0,0,0,0,0,0,1,0,35
58,1,1,1,0,1,1,0,1,0,1,0,3
59,1,0,1,0,1,0,1,1,0,1,1,4
60,1,0,0,1,0,0,0,0,1,0,0,3
61,1,1,1,1,0,1,0,1,1,0,1,1
62,1,0,1,0,1,0,0,0,1,0,0,358
63,0,1,0,1,0,1,0,0,1,1,0,4
64,1,1,1,1,1,1,1,0,1,1,0,1
65,0,0,1,0,1,0,0,0,1,0,0,8
66,0,1,0,0,0,1,0,0,0,0,0,11
67,1,0,0,0,0,0,0,0,1,0,1,4
68,1,1,1,1,1,1,1,0,0,1,0,56
69,1,0,0,0,0,0,0,0,0,1,0,39
70,0,1,0,0,0,0,0,1,0,0,1,29
71,0,1,0,1,0,0,0,1,0,0,0,3
72,1,1,0,1,1,1,1,1,1,0,1,1
73,1,0,0,0,0,0,0,1,0,0,0,4
74,1,0,1,0,1,0,1,0,1,1,0,3
75,0,0,1,0,1,0,1,0,1,0,0,3
76,1,1,1,1,1,0,0,0,0,1,0,41
77,1,0,1,0,1,1,0,0,1,0,0,5
78,0,1,1,0,1,0,1,0,1,1,0,3
79,0,0,0,0,0,1,0,1,0,0,1,25
80,0,1,0,1,0,0,0,0,1,0,1,3
81,1,1,1,1,1,0,0,0,1,0,0,2
82,1,0,1,0,1,0,1,0,0,0,0,10
83,0,1,0,1,0,0,1,1,0,0,1,1
84,0,0,0,1,0,0,0,0,1,0,0,4
85,0,1,0,1,1,0,0,0,0,1,0,1
86,1,1,1,1,0,0,0,0,0,0,0,4
87,0,1,0,0,0,0,0,1,0,0,0,14
88,1,0,0,0,0,0,0,0,0,0,1,3
89,0,0,1,1,0,0,0,0,0,0,0,3
90,1,1,0,1,0,0,0,0,0,1,0,38
91,0,0,0,0,0,1,0,0,1,0,0,3
92,1,0,0,1,0,0,0,0,0,1,0,2
93,0,0,0,1,0,1,0,1,0,0,0,26
94,1,0,0,0,0,0,0,1,1,0,0,9
95,1,0,0,0,1,0,0,0,1,0,0,6
96,1,1,1,1,1,1,1,1,1,0,0,2
97,0,1,1,1,0,0,0,0,1,1,0,3
98,0,1,0,1,1,1,0,0,0,0,1,1
99,0,1,0,0,0,1,0,1,0,0,1,48
100,0,1,0,1,1,1,0,0,0,1,0,1
101,0,1,1,1,0,1,0,0,0,1,0,2
102,1,1,1,0,1,0,1,0,1,0,0,5
103,1,1,1,0,1,0,0,0,1,0,0,5
104,0,1,0,1,0,1,0,1,1,0,1,6
105,1,1,1,0,1,1,1,0,1,0,1,3
106,0,0,0,1,0,0,0,1,0,1,0,1
107,0,0,0,1,0,0,0,1,0,0,1,23
108,0,0,1,0,1,0,1,0,0,0,0,5
109,1,1,0,1,0,1,0,1,0,1,0,5
110,0,1,0,1,0,0,1,0,1,1,0,1
111,0,1,0,1,1,1,0,1,0,0,0,3
112,1,0,0,1,0,0,0,0,1,0,1,1
113,0,0,0,1,0,0,0,0,0,1,0,1
114,1,0,1,1,1,1,0,0,0,1,1,3
115,1,0,0,0,0,0,0,0,1,1,0,3
116,0,0,0,1,0,1,0,1,0,1,1,2
117,0,0,0,1,0,0,1,0,0,0,0,4
118,0,1,1,1,1,1,0,0,0,1,0,5
119,1,1,1,1,1,0,0,0,1,0,1,4
120,1,1,1,1,0,1,1,1,0,1,0,1
121,1,1,0,0,0,0,0,0,1,0,1,4
122,1,0,0,0,0,1,0,0,1,0,0,5
123,1,1,1,1,1,1,0,0,0,0,1,1
124,0,0,1,0,0,0,0,0,1,0,0,17
