,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
90,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,13
91,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,14
92,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,3
93,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,164
94,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,17
95,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,17
96,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,11
97,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,76
98,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,12
99,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1
100,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,12
101,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,4
102,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15
103,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,12
104,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,6
105,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
106,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,3
107,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,10
108,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,27
109,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,7
110,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2
111,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,23
112,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
113,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,4
114,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,6
115,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,13
116,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
117,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2
118,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1
119,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,45
120,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,3
121,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
122,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,5
123,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,15
124,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,9
125,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,17
126,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
127,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
128,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,21
129,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,16
130,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17
131,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,72
132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
133,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5
134,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,39
135,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,17
136,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,11
137,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,5
138,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,10
139,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2
140,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,5
141,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2
