,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,Data,Data,Data,num
,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,1,1,1,41328
1,0,1,0,1,0,0,1,1,0,387
2,0,0,0,1,0,1,1,1,1,153
3,0,1,0,1,0,1,1,1,0,462
4,0,0,0,0,1,0,1,1,1,285
5,1,0,1,0,1,0,0,1,1,408
6,1,1,1,1,0,0,1,0,1,292
7,0,1,0,0,0,0,1,1,0,439
8,0,0,0,0,0,0,0,1,1,505
9,1,1,1,0,0,0,1,0,1,115
10,1,0,0,0,0,0,0,1,1,452
11,0,0,0,0,0,0,1,0,1,417
12,0,1,0,1,0,1,1,1,1,471
13,0,1,0,0,0,0,1,1,1,422
14,1,0,0,0,0,0,1,1,1,134
15,0,0,0,1,0,0,1,1,1,309
16,1,0,0,0,1,0,0,1,1,13
17,0,0,0,0,0,1,1,1,1,551
18,1,1,0,0,0,0,1,0,1,332
19,1,0,0,0,0,0,1,0,1,138
20,0,1,1,1,0,1,1,0,1,1
21,1,1,1,1,1,1,1,0,1,257
22,1,0,1,0,0,0,0,1,1,455
23,0,0,0,0,0,0,1,1,0,393
24,1,1,0,0,0,0,1,1,0,1
25,1,1,0,1,0,0,1,0,1,54
26,0,0,1,0,0,0,1,1,1,100
27,1,1,0,1,0,1,1,0,1,12
28,0,1,0,0,0,0,1,0,1,60
29,1,1,1,1,1,1,0,1,1,6
30,0,1,0,1,0,1,0,1,1,6
31,1,1,1,1,0,1,1,0,1,58
32,0,0,0,0,1,0,1,1,0,5
33,0,0,0,1,0,0,1,1,0,14
34,1,0,1,0,1,0,1,0,0,5
35,0,1,1,0,1,0,0,0,1,4
36,1,1,0,0,0,0,0,0,1,6
37,0,1,0,1,0,0,1,1,1,163
38,1,1,1,1,1,0,1,0,1,163
39,0,0,1,1,1,1,1,1,1,1
40,1,0,1,0,0,0,1,1,1,10
41,1,0,1,0,1,0,1,0,1,1
42,0,1,0,0,0,1,1,1,1,58
43,1,1,0,1,0,1,0,1,0,2
44,1,1,1,0,0,0,0,1,0,9
45,1,1,1,0,1,1,1,0,1,5
46,1,1,0,1,0,0,0,1,0,6
47,0,1,1,1,1,0,1,0,1,6
48,0,1,0,1,1,1,0,0,1,4
49,1,0,1,0,1,1,0,1,1,3
50,0,0,0,1,0,1,1,1,0,15
51,1,1,1,0,1,0,0,1,0,4
52,0,1,0,0,0,0,0,1,1,6
53,1,0,0,1,0,1,1,0,1,2
54,0,0,0,1,0,0,0,1,1,2
55,1,0,1,0,1,0,1,1,1,12
56,1,1,0,1,0,0,1,0,0,3
57,1,0,1,0,0,0,1,0,1,2
58,0,0,0,1,1,0,1,1,1,3
59,0,1,0,1,0,1,0,1,0,5
60,0,1,0,0,0,0,0,0,0,1
61,1,1,1,1,0,0,1,0,0,5
62,0,0,0,0,0,1,1,0,1,5
63,1,0,1,0,0,0,0,0,1,5
64,1,1,1,1,1,0,0,1,1,2
65,0,1,0,0,0,0,1,0,0,6
66,1,0,1,1,1,1,0,0,1,1
67,0,0,1,0,1,1,1,1,1,1
68,1,1,1,1,0,0,0,0,1,5
69,0,0,0,0,0,1,0,1,1,6
70,1,1,1,1,1,0,0,1,0,1
71,0,0,0,1,1,1,1,1,0,1
72,1,0,0,0,0,1,0,1,1,5
73,1,1,1,1,1,1,0,0,1,4
74,1,1,1,0,0,1,1,0,1,6
75,1,1,1,1,0,1,0,1,0,6
76,0,1,1,1,0,0,1,0,1,7
77,1,0,0,0,0,0,0,0,1,5
78,1,0,1,1,1,0,1,0,0,3
79,0,1,0,1,0,1,1,0,1,7
80,1,1,1,1,0,1,0,1,1,4
81,1,1,0,1,0,0,0,1,1,5
82,1,0,1,1,0,1,1,0,1,1
83,1,1,1,1,1,1,1,0,0,4
84,1,0,1,1,0,1,1,0,0,2
85,0,1,1,1,1,1,1,0,1,5
86,1,1,0,0,0,0,0,1,0,5
87,0,1,0,0,0,1,1,1,0,23
88,0,0,1,0,0,0,0,1,1,6
89,0,0,0,1,1,1,1,1,1,4
90,0,1,0,1,0,0,1,0,0,7
91,1,0,0,0,0,1,1,0,1,2
92,0,1,1,1,1,1,0,0,1,3
93,0,1,0,1,0,0,0,1,0,4
94,1,1,0,1,0,1,1,1,1,1
95,0,1,0,0,1,0,1,1,0,2
96,1,0,0,0,0,0,0,1,0,5
97,1,0,1,0,0,1,0,1,1,6
98,0,0,1,0,1,0,0,1,1,6
99,1,0,1,0,1,0,0,0,1,3
100,1,1,1,0,0,0,1,0,0,1
101,1,0,0,0,0,0,1,0,0,2
102,0,0,0,0,1,1,1,1,1,3
103,1,0,1,0,0,1,1,0,0,4
