,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,36271
1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,397
2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,237
3,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,380
4,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,10
5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,221
6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,245
7,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,382
8,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,15
9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,79
10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,256
11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,408
12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,287
13,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,6
14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4
15,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,275
16,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,372
17,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,313
18,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1
19,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,5
20,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,333
21,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,3
22,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,5
23,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,317
24,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,246
25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
26,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,4
27,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
28,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,5
29,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,116
30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,239
32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
33,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
34,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4
35,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,287
36,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,466
37,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,9
38,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,134
39,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,313
40,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
41,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,103
42,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,124
43,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,232
44,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,128
45,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,294
46,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,60
47,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,9
48,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,66
49,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,4
50,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,61
51,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,416
52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,444
53,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,17
54,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,2
55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,361
56,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,6
57,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,50
