,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
,0,1,0,1,0,1,0,1,0,1,0,1,2,simulation num
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38677
1,0,0,0,0,0,0,0,0,0,1,0,0,0,791
2,0,0,0,0,0,1,0,0,0,0,0,0,0,488
3,0,1,0,0,0,0,0,0,0,0,0,0,0,550
4,0,0,0,0,0,0,0,0,0,0,1,0,0,321
5,0,0,0,0,1,0,1,0,1,0,0,0,0,6
6,0,0,0,0,0,0,0,1,0,0,0,0,0,515
7,1,0,0,0,0,0,0,0,0,0,0,0,0,145
8,0,0,1,0,0,0,0,0,1,0,0,0,0,1
9,1,0,1,0,1,0,1,0,0,0,1,0,0,316
10,0,0,0,0,0,1,1,0,0,0,0,0,0,2
11,0,0,0,1,0,0,0,0,0,0,0,0,0,454
12,0,1,0,1,0,1,0,0,0,0,0,0,1,255
13,0,0,0,0,0,0,0,0,0,0,0,1,0,272
14,1,1,0,0,0,0,0,0,0,0,0,1,0,234
15,1,0,0,0,0,0,0,0,0,0,1,0,0,318
16,0,1,0,0,0,1,0,1,0,1,0,0,1,38
17,0,0,0,0,0,1,0,1,0,0,0,0,0,71
18,0,0,0,0,0,0,0,1,0,1,0,0,0,79
19,0,1,0,0,0,0,0,0,0,0,0,0,1,238
20,0,1,0,1,0,0,0,0,0,0,0,0,1,260
21,0,0,0,0,0,0,0,0,1,0,0,0,0,315
22,1,0,0,0,0,0,0,0,0,1,1,0,0,7
23,1,0,1,0,1,0,0,0,0,0,1,0,0,308
24,0,1,0,1,0,0,0,0,0,0,0,0,0,89
25,0,0,0,0,1,0,0,0,0,0,0,0,0,162
26,1,1,0,1,0,1,0,1,0,1,0,1,0,6
27,1,1,1,1,1,1,1,1,0,1,0,1,0,44
28,1,0,1,0,1,0,0,0,0,0,0,0,0,8
29,0,0,0,1,0,1,0,1,0,1,0,0,1,19
30,0,1,0,1,0,1,0,1,0,0,0,0,1,270
31,0,1,0,1,0,1,0,1,0,1,0,0,1,452
32,0,0,1,0,0,0,0,0,0,0,0,0,0,138
33,1,1,1,0,0,0,0,0,0,0,0,1,0,50
34,1,1,1,1,1,1,1,1,1,1,0,1,0,233
35,1,0,1,0,1,0,1,0,1,0,1,0,0,321
36,0,0,0,1,0,1,0,0,0,0,0,0,1,20
37,0,0,0,0,0,0,1,0,0,0,0,0,0,122
38,1,1,0,0,0,0,0,0,0,1,0,1,0,3
39,1,1,1,1,0,1,0,0,0,0,0,1,0,35
40,0,1,0,0,0,0,0,1,0,0,0,0,0,14
41,0,1,0,1,0,1,0,1,0,1,0,0,0,341
42,1,0,1,0,0,0,0,0,0,0,1,0,0,343
43,1,1,1,0,1,0,1,0,0,0,1,0,0,5
44,0,1,0,0,0,0,0,0,0,0,0,1,0,33
45,1,1,1,1,1,0,0,0,0,0,0,1,0,40
