,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
,0,1,2,3,4,5,6,7,8,9,0,1,2,simulation num
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1071
1,0,0,0,0,0,0,0,0,0,0,0,0,0,11706
2,0,1,0,0,1,0,0,1,1,1,0,0,0,3
3,0,0,1,0,0,0,0,1,0,0,0,0,0,262
4,0,0,1,0,0,1,0,1,0,0,0,1,1,1
5,0,0,0,1,1,0,0,0,0,0,1,0,0,74
6,0,0,0,0,1,0,0,0,1,0,0,0,1,2
7,0,0,1,0,0,0,0,1,1,0,1,1,0,28
8,0,1,1,0,0,0,0,0,0,0,0,0,0,174
9,0,0,1,0,0,0,0,0,0,1,1,0,0,166
10,0,0,0,0,0,0,0,1,0,0,0,0,0,1337
11,1,0,0,0,0,0,1,1,0,1,0,0,1,2
12,1,1,1,0,0,0,0,0,0,0,1,0,0,37
13,0,0,1,0,0,0,0,0,0,0,1,0,0,2066
14,0,1,0,1,0,0,0,0,0,0,0,0,0,143
15,0,0,1,0,0,1,0,0,0,1,0,1,0,3
16,0,0,1,0,1,0,0,0,0,0,0,0,0,142
17,0,0,0,0,1,0,0,0,0,0,0,1,0,202
18,0,1,0,0,0,0,0,1,0,0,0,0,0,98
19,0,1,0,0,0,0,0,0,0,0,0,0,0,958
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1535
21,1,0,0,0,0,0,0,0,0,0,0,0,0,1331
22,1,0,1,0,0,0,0,0,0,1,1,0,0,19
23,0,0,0,0,0,0,0,0,0,0,0,1,0,1742
24,0,0,1,0,1,0,0,0,0,0,1,0,0,121
25,0,0,1,1,0,0,0,1,0,0,0,1,0,88
26,0,0,0,1,0,0,0,1,0,0,0,1,0,21
27,0,0,0,0,0,0,0,0,1,0,0,0,0,1193
28,0,0,1,0,0,0,0,1,0,0,1,0,0,283
29,0,0,1,0,0,0,0,1,1,1,0,1,0,104
30,1,1,0,1,0,0,0,0,0,0,1,0,0,12
31,0,0,0,0,0,1,0,0,1,0,0,1,0,7
32,0,1,0,0,0,0,0,0,0,0,0,1,0,138
33,0,0,0,0,0,0,0,1,1,0,1,0,0,67
34,0,0,0,0,0,0,0,0,1,0,1,0,0,132
35,0,0,1,0,0,0,0,0,1,0,0,0,0,110
36,0,0,0,0,0,0,0,0,0,1,0,0,0,956
37,1,1,0,1,0,0,0,0,0,0,0,0,0,37
38,0,1,1,0,0,0,0,1,0,0,1,0,0,21
39,0,1,1,0,0,0,0,1,0,0,0,1,0,85
40,1,0,0,0,1,0,0,0,0,0,0,0,0,55
41,0,0,0,0,0,0,0,1,0,1,0,0,1,86
42,0,0,1,0,0,0,0,1,1,1,1,0,0,60
43,0,0,0,1,0,0,0,0,0,0,0,0,0,448
44,0,0,0,0,0,0,1,0,1,1,0,0,0,63
45,0,0,1,0,0,0,0,1,0,1,0,0,0,40
46,1,0,0,0,0,0,0,0,0,1,0,0,0,98
47,0,0,0,0,0,0,0,0,0,1,0,1,0,175
48,0,1,1,0,1,0,0,0,0,0,0,0,0,22
49,0,0,0,0,0,0,1,0,0,0,0,0,0,375
50,0,0,0,1,1,0,0,0,0,0,0,0,0,367
51,1,0,1,0,0,0,0,0,0,0,1,0,0,237
52,0,0,0,0,1,0,0,0,0,0,0,0,0,535
53,0,0,0,0,0,0,1,0,1,0,1,0,1,2
54,0,0,0,1,1,0,0,0,1,1,1,0,0,9
55,0,0,0,0,0,0,0,1,1,1,0,0,0,328
56,0,1,0,1,0,0,0,0,1,1,0,0,0,18
