,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
80,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,18
81,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,27
82,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,28
83,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
84,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7
85,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,35
86,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
87,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5
88,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,277
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67
90,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,4
91,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,48
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,129
93,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,2
94,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,17
95,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2
96,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,21
97,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,16
98,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
99,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
100,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4
101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
102,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17
103,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,18
